,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,stylus/stylus,0.1.0,2011-02-01,BUG,302.0,21585.0,,,,,,,,,,,1.0,35.0,2.0,7.0,-1.0
1,stylus/stylus,0.2.0,2011-02-01,BUG,302.0,21644.0,,,,,,,,,,,2.0,9.0,3.0,8.0,-1.0
2,stylus/stylus,0.2.1,2011-02-02,BUG,302.0,21681.0,,,,,,,,,,,3.0,6.0,5.0,33.0,-1.0
3,stylus/stylus,0.3.0,2011-02-04,,,,,,,,,,,,,,,,,,
4,stylus/stylus,0.3.1,2011-02-04,,,,,,,,,,,,,,,,,,
5,stylus/stylus,0.4.0,2011-02-07,BUG,327.0,22914.0,,,,,,,,,,,7.0,23.0,14.0,157.0,-1.0
6,stylus/stylus,0.4.1,2011-02-09,BUG,331.0,23042.0,,,,,,,,,,,1.0,5.0,1.0,8.0,-1.0
7,stylus/stylus,0.5.0,2011-02-09,,,,,,,,,,,,,,,,,,
8,stylus/stylus,0.5.1,2011-02-11,BUG,335.0,23152.0,,,,,,,,,,,1.0,3.0,9.0,51.0,-1.0
9,stylus/stylus,0.5.2,2011-02-15,BUG,339.0,23202.0,,,,,,,,,,,2.0,2.0,6.0,50.0,-1.0
10,stylus/stylus,0.5.3,2011-02-17,BUG,345.0,23414.0,,,,,,,,,,,2.0,8.0,4.0,27.0,-1.0
11,stylus/stylus,0.6.0,2011-02-18,BUG,347.0,23753.0,,,,,,,,,,,6.0,9.0,12.0,388.0,-1.0
12,stylus/stylus,0.6.1,2011-02-18,BUG,351.0,23815.0,,,,,,,,,,,1.0,2.0,3.0,39.0,-1.0
13,stylus/stylus,0.6.2,2011-02-21,BUG,353.0,23902.0,,,,,,,,,,,2.0,6.0,5.0,11.0,-1.0
14,stylus/stylus,0.6.3,2011-02-22,BUG,357.0,24056.0,,,,,,,,,,,4.0,2.0,8.0,133.0,-1.0
15,stylus/stylus,0.6.4,2011-02-24,BUG,359.0,24136.0,,,,,,,,,,,1.0,1.0,3.0,83.0,-1.0
16,stylus/stylus,0.6.5,2011-02-24,BUG,359.0,24190.0,,,,,,,,,,,2.0,2.0,6.0,81.0,-1.0
17,stylus/stylus,0.6.6,2011-03-01,BUG,368.0,24421.0,,,,,,,,,,,6.0,17.0,10.0,62.0,-1.0
18,stylus/stylus,0.6.7,2011-03-01,BUG,368.0,24428.0,,,,,,,,,,,1.0,2.0,3.0,5.0,-1.0
19,stylus/stylus,0.7.0,2011-03-02,BUG,368.0,24535.0,,,,,,,,,,,2.0,4.0,2.0,31.0,-1.0
20,stylus/stylus,0.7.1,2011-03-07,BUG,368.0,24548.0,,,,,,,,,,,1.0,2.0,1.0,10.0,-1.0
21,stylus/stylus,0.7.2,2011-03-08,BUG,379.0,24558.0,,,,,,,,,,,3.0,23.0,7.0,84.0,-1.0
22,stylus/stylus,0.7.3,2011-03-09,BUG,381.0,24585.0,,,,,,,,,,,1.0,2.0,1.0,1.0,-1.0
23,stylus/stylus,0.7.4,2011-03-10,BUG,382.0,24609.0,,,,,,,,,,,2.0,10.0,3.0,66.0,-1.0
