Project,Model,Task,R_Squared,R_Squared_Adj,MAE,MSE,RMSE,PRED_25,PRED_50,T_Records
office-js,Line_CC,BUG,0.89,0.82,1.48,7.09,2.66,1.0,1.0,21
office-js,Line_EC,BUG,1.0,1.0,0.0,0.0,0.0,,,21
angular,Line_CC,BUG,0.86,0.86,5450.96,73307152.94,8561.96,0.18,0.37,326
angular,Line_CC,DOCS,0.65,0.64,6346.84,133677835.33,11561.91,0.18,0.32,318
angular,Line_CC,FEATURE,0.51,0.49,5040.76,175199980.7,13236.31,0.29,0.47,262
angular,Line_CC,OTHER,0.46,0.45,16601.2,1741315624.17,41729.07,0.13,0.22,315
angular,Line_CC,REFACTOR,0.71,0.7,3969.87,74954514.89,8657.63,0.32,0.51,295
angular,Line_CC,RELEASE,0.44,0.42,131.7,78062.72,279.4,0.14,0.33,280
angular,Line_CC,SUPPORT,0.91,0.9,212.72,276431.44,525.77,0.44,0.52,108
angular,Line_CC,TESTING,0.25,0.23,9004.76,254364037.96,15948.79,0.09,0.2,279
angular,Line_CC,UPGRADE,0.39,0.36,1744.44,11529498.39,3395.51,0.49,0.55,194
angular,Line_EC,BUG,0.61,0.6,1160.53,15079820.0,3883.27,0.15,0.22,326
angular,Line_EC,DOCS,0.66,0.65,567.91,2278365.57,1509.43,0.24,0.42,318
angular,Line_EC,FEATURE,-2.26,-2.36,600.45,7503332.1,2739.22,0.44,0.44,262
angular,Line_EC,OTHER,0.8,0.79,419.27,1606758.65,1267.58,0.18,0.39,315
angular,Line_EC,REFACTOR,0.67,0.66,461.81,2374231.22,1540.85,0.27,0.45,295
angular,Line_EC,RELEASE,0.9,0.9,1.69,30.55,5.53,0.54,0.85,280
angular,Line_EC,SUPPORT,0.99,0.99,0.07,0.15,0.39,1.0,1.0,108
angular,Line_EC,TESTING,0.46,0.44,182.12,417421.3,646.08,0.22,0.28,279
angular,Line_EC,UPGRADE,0.03,-0.01,276.76,2670416.32,1634.14,0.54,0.54,194
node,Line_CC,BUG,0.73,0.72,7910.86,196211868.13,14007.56,0.43,0.63,280
node,Line_CC,DOCS,0.52,0.5,3962.95,73365012.26,8565.34,0.33,0.47,231
node,Line_CC,FEATURE,0.24,0.2,159.43,83372.08,288.74,0.46,0.57,147
node,Line_CC,OTHER,0.93,0.93,175159.77,122234312215.45,349620.24,0.53,0.64,299
node,Line_CC,REFACTOR,0.94,0.94,2483.8,18767358.49,4332.13,0.58,0.69,234
node,Line_CC,RELEASE,0.95,0.95,100.02,28188.7,167.89,0.68,0.89,247
node,Line_CC,SUPPORT,0.91,0.91,1010.14,3462835.78,1860.87,0.46,0.62,249
node,Line_CC,TESTING,0.95,0.95,3997.35,48012097.79,6929.08,0.64,0.81,275
node,Line_CC,UPGRADE,0.89,0.89,83288.31,24025064761.6,155000.21,0.65,0.76,251
node,Line_EC,BUG,0.68,0.67,1084.46,8732181.18,2955.03,0.71,0.78,280
node,Line_EC,DOCS,0.62,0.61,1812.03,23403938.21,4837.76,0.33,0.52,231
