,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,jhipster/generator-jhipster,v0.4.0,2013-12-15,,,,,,,,,,,,,
1,jhipster/generator-jhipster,v0.5.0,2013-12-17,,,,,,,,,,,,,
2,jhipster/generator-jhipster,v0.5.1,2013-12-21,TESTING,131.0,15222.0,1.0,6.0,,0.0,1.0,,,,,
3,jhipster/generator-jhipster,v0.5.2,2013-12-21,,,,,,,,,,,,,
4,jhipster/generator-jhipster,v0.6.0,2013-12-23,TESTING,134.0,15343.0,1.0,19.0,1.0,7.0,1.0,,,,,
5,jhipster/generator-jhipster,v0.6.1,2013-12-27,,,,,,,,,,,,,
6,jhipster/generator-jhipster,v0.6.2,2014-01-08,,,,,,,,,,,,,
7,jhipster/generator-jhipster,v0.7.0,2014-01-13,TESTING,143.0,16253.0,1.0,12.0,1.0,20.0,1.0,,,,,
8,jhipster/generator-jhipster,v0.7.1,2014-01-14,TESTING,143.0,16252.0,1.0,1.0,1.0,3.0,1.0,,,,,
9,jhipster/generator-jhipster,v0.8.0,2014-01-23,,,,,,,,,,,,,
10,jhipster/generator-jhipster,v0.8.1,2014-01-24,,,,,,,,,,,,,
11,jhipster/generator-jhipster,v0.8.2,2014-01-24,,,,,,,,,,,,,
12,jhipster/generator-jhipster,v0.8.3,2014-01-29,,,,,,,,,,,,,
13,jhipster/generator-jhipster,v0.8.4,2014-01-31,,,,,,,,,,,,,
14,jhipster/generator-jhipster,v0.9.0,2014-02-07,,,,,,,,,,,,,
15,jhipster/generator-jhipster,v0.9.1,2014-02-13,TESTING,149.0,16690.0,1.0,10.0,1.0,62.0,1.0,,,,,
16,jhipster/generator-jhipster,v0.9.2,2014-02-14,,,,,,,,,,,,,
17,jhipster/generator-jhipster,v0.9.3,2014-02-16,,,,,,,,,,,,,
18,jhipster/generator-jhipster,v0.10.0,2014-02-18,TESTING,168.0,17416.0,1.0,51.0,1.0,1.0,1.0,,,,,
19,jhipster/generator-jhipster,v0.10.1,2014-02-19,,,,,,,,,,,,,
20,jhipster/generator-jhipster,v0.11.0,2014-03-13,TESTING,198.0,13281.0,1.0,105.0,1.0,14.0,1.0,,,,,
21,jhipster/generator-jhipster,v0.12.0,2014-03-28,TESTING,173.0,11536.0,1.0,61.0,1.0,2.0,1.0,,,,,
22,jhipster/generator-jhipster,v0.13.0,2014-04-10,,,,,,,,,,,,,
23,jhipster/generator-jhipster,v0.14.0,2014-05-18,TESTING,199.0,14402.0,8.0,125.0,7.0,325.0,2.0,1.0,125.0,2.0,161.0,1.0
24,jhipster/generator-jhipster,v0.15.0,2014-05-26,TESTING,214.0,15451.0,2.0,58.0,,0.0,1.0,,,,,
25,jhipster/generator-jhipster,v0.16.0,2014-06-02,,,,,,,,,,,,,
26,jhipster/generator-jhipster,v0.17.0,2014-06-23,TESTING,218.0,15541.0,2.0,49.0,7.0,46.0,1.0,,,,,
27,jhipster/generator-jhipster,v0.17.1,2014-06-30,,,,,,,,,,,,,
28,jhipster/generator-jhipster,v0.17.2,2014-07-01,,,,,,,,,,,,,
29,jhipster/generator-jhipster,v0.18.0,2014-07-23,,,,,,,,,,,,,
30,jhipster/generator-jhipster,v0.18.1,2014-07-24,,,,,,,,,,,,,
31,jhipster/generator-jhipster,v1.0.0,2014-09-01,TESTING,224.0,16982.0,1.0,85.0,2.0,4.0,1.0,,,,,
32,jhipster/generator-jhipster,v1.1.0,2014-09-08,TESTING,235.0,17653.0,1.0,124.0,3.0,7.0,1.0,,,,,
33,jhipster/generator-jhipster,v1.1.1,2014-09-10,,,,,,,,,,,,,
34,jhipster/generator-jhipster,v1.2.0,2014-09-21,TESTING,235.0,17696.0,1.0,30.0,1.0,3.0,1.0,,,,,
35,jhipster/generator-jhipster,v1.2.1,2014-09-29,TESTING,236.0,17722.0,1.0,63.0,1.0,1.0,1.0,,,,,
36,jhipster/generator-jhipster,v1.2.2,2014-10-02,,,,,,,,,,,,,
