,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jhipster/generator-jhipster,v0.4.0,2013-12-15,FEATURE,126,14801,,,,,,,,,,,,,,,
1,jhipster/generator-jhipster,v0.5.0,2013-12-17,FEATURE,128,15023,,,,,,,,,,,,,,,
2,jhipster/generator-jhipster,v0.5.2,2013-12-21,FEATURE,131,15222,,,,,,,,,,,,,,,
3,jhipster/generator-jhipster,v0.5.1,2013-12-21,FEATURE,131,15222,,,,,,,,,,,,,,,
4,jhipster/generator-jhipster,v0.6.0,2013-12-23,FEATURE,134,15343,,,,,,,,,,,,,,,
5,jhipster/generator-jhipster,v0.6.1,2013-12-27,FEATURE,137,15876,,,,,,,,,,,,,,,
6,jhipster/generator-jhipster,v0.6.2,2014-01-08,FEATURE,137,15825,,,,,,,,,,,,,,,
7,jhipster/generator-jhipster,v0.7.0,2014-01-13,FEATURE,143,16253,,,,,,,,,,,,,,,
8,jhipster/generator-jhipster,v0.7.1,2014-01-14,FEATURE,143,16252,,,,,,,,,,,,,,,
9,jhipster/generator-jhipster,v0.8.0,2014-01-23,FEATURE,142,16021,,,,,,,,,,,,,,,
10,jhipster/generator-jhipster,v0.8.1,2014-01-24,FEATURE,142,16020,,,,,,,,,,,,,,,
11,jhipster/generator-jhipster,v0.8.2,2014-01-24,FEATURE,142,16022,,,,,,,,,,,,,,,
12,jhipster/generator-jhipster,v0.8.3,2014-01-29,FEATURE,143,16116,,,,,,,,,,,,,,,
13,jhipster/generator-jhipster,v0.8.4,2014-01-31,FEATURE,143,16121,,,,,,,,,,,,,,,
14,jhipster/generator-jhipster,v0.9.0,2014-02-07,FEATURE,145,16345,,,,,,,,,,,,,,,
15,jhipster/generator-jhipster,v0.9.1,2014-02-13,FEATURE,149,16690,,,,,,,,,,,1.0,3.0,4.0,299.0,-1.0
16,jhipster/generator-jhipster,v0.9.2,2014-02-14,FEATURE,149,16690,,,,,,,,,,,,,,,
17,jhipster/generator-jhipster,v0.9.3,2014-02-16,FEATURE,149,16706,,,,,,,,,,,,,,,
18,jhipster/generator-jhipster,v0.10.0,2014-02-18,FEATURE,168,17416,1.0,51.0,,0.0,1.0,,,,,,,,,,
19,jhipster/generator-jhipster,v0.10.1,2014-02-19,FEATURE,168,17413,,,,,,,,,,,,,,,
20,jhipster/generator-jhipster,v0.11.0,2014-03-13,FEATURE,198,13281,2.0,108.0,28.0,1408.0,2.0,,,,,,,,,,
21,jhipster/generator-jhipster,v0.12.0,2014-03-28,FEATURE,173,11536,,,,,,,,,,,,,,,
22,jhipster/generator-jhipster,v0.13.0,2014-04-10,FEATURE,182,12509,,,,,,,,,,,,,,,
23,jhipster/generator-jhipster,v0.14.0,2014-05-18,FEATURE,199,14402,1.0,131.0,,0.0,1.0,1.0,131.0,,0.0,1.0,,,,,
24,jhipster/generator-jhipster,v0.15.0,2014-05-26,FEATURE,214,15451,,,,,,,,,,,,,,,
25,jhipster/generator-jhipster,v0.16.0,2014-06-02,FEATURE,220,15663,4.0,16.0,,0.0,4.0,5.0,16.0,,0.0,5.0,2.0,3.0,,0.0,-1.0
26,jhipster/generator-jhipster,v0.17.0,2014-06-23,FEATURE,218,15541,,,,,,,,,,,,,,,
27,jhipster/generator-jhipster,v0.17.1,2014-06-30,FEATURE,218,15536,,,,,,,,,,,,,,,
28,jhipster/generator-jhipster,v0.17.2,2014-07-01,FEATURE,218,15534,,,,,,,,,,,,,,,
29,jhipster/generator-jhipster,v0.18.0,2014-07-23,FEATURE,218,16458,,,,,,,,,,,,,,,
30,jhipster/generator-jhipster,v0.18.1,2014-07-24,FEATURE,218,16459,,,,,,,,,,,,,,,
31,jhipster/generator-jhipster,v1.0.0,2014-09-01,FEATURE,224,16982,,,,,,,,,,,,,,,
32,jhipster/generator-jhipster,v1.1.0,2014-09-08,FEATURE,235,17653,,,,,,,,,,,,,,,
33,jhipster/generator-jhipster,v1.1.1,2014-09-10,FEATURE,235,17646,,,,,,,,,,,,,,,
34,jhipster/generator-jhipster,v1.2.0,2014-09-21,FEATURE,235,17696,,,,,,,,,,,,,,,
35,jhipster/generator-jhipster,v1.2.1,2014-09-29,FEATURE,236,17722,3.0,61.0,,0.0,3.0,,,,,,,,,,
36,jhipster/generator-jhipster,v1.2.2,2014-10-02,FEATURE,237,17931,,,,,,,,,,,,,,,
37,jhipster/generator-jhipster,v1.3.0,2014-10-07,FEATURE,239,18224,,,,,,,,,,,,,,,
38,jhipster/generator-jhipster,v1.4.0,2014-10-13,FEATURE,239,18406,,,,,,,,,,,,,,,
