,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,odin-lang/Odin,v0.0.3d,2016-11-28,,,,,,,,,,,,,
1,odin-lang/Odin,v0.0.4,2016-12-09,,,,,,,,,,,,,
2,odin-lang/Odin,v0.0.5,2017-01-03,,,,,,,,,,,,,
3,odin-lang/Odin,v0.0.5a,2017-01-05,,,,,,,,,,,,,
4,odin-lang/Odin,v0.0.5b,2017-01-05,,,,,,,,,,,,,
5,odin-lang/Odin,v0.0.5c,2017-01-05,,,,,,,,,,,,,
6,odin-lang/Odin,v0.0.5d,2017-01-06,,,,,,,,,,,,,
7,odin-lang/Odin,v0.0.5e,2017-01-07,,,,,,,,,,,,,
8,odin-lang/Odin,v0.0.6,2017-01-27,,,,,,,,,,,,,
9,odin-lang/Odin,v0.0.6a,2017-01-28,,,,,,,,,,,,,
10,odin-lang/Odin,v0.0.6b,2017-01-29,,,,,,,,,,,,,
11,odin-lang/Odin,v0.1.0,2017-02-11,,,,,,,,,,,,,
12,odin-lang/Odin,v0.1.1,2017-02-24,,,,,,,,,,,,,
13,odin-lang/Odin,llvm-4.0-windows,2017-03-03,,,,,,,,,,,,,
14,odin-lang/Odin,v0.1.3,2017-03-27,,,,,,,,,,,,,
15,odin-lang/Odin,v0.2.0,2017-04-30,,,,,,,,,,,,,
16,odin-lang/Odin,v0.2.1,2017-05-01,,,,,,,,,,,,,
17,odin-lang/Odin,v0.3.0,2017-06-08,,,,,,,,,,,,,
18,odin-lang/Odin,v0.4.0,2017-06-12,,,,,,,,,,,,,
19,odin-lang/Odin,v0.5.0,2017-06-27,,,,,,,,,,,,,
20,odin-lang/Odin,v0.6.0,2017-07-30,,,,,,,,,,,,,
21,odin-lang/Odin,v0.6.1a,2017-08-01,,,,,,,,,,,,,
22,odin-lang/Odin,v0.6.1,2017-08-01,,,,,,,,,,,,,
23,odin-lang/Odin,v0.6.2,2017-08-03,,,,,,,,,,,,,
24,odin-lang/Odin,v0.7.0,2017-11-18,,,,,,,,,,,,,
25,odin-lang/Odin,v0.7.1,2017-11-19,,,,,,,,,,,,,
26,odin-lang/Odin,v0.8.0,2018-02-09,,,,,,,,,,,,,
27,odin-lang/Odin,v0.8.1,2018-02-11,,,,,,,,,,,,,
28,odin-lang/Odin,llvm-windows,2018-08-26,TESTING,93.0,84779.0,1.0,287.0,1.0,8.0,1.0,,,,,
29,odin-lang/Odin,v0.9.0,2018-11-22,TESTING,94.0,88396.0,1.0,126.0,2.0,3.0,1.0,,,,,
30,odin-lang/Odin,0.9.1,2018-11-29,,,,,,,,,,,,,
31,odin-lang/Odin,v0.10.0,2019-06-02,TESTING,139.0,104301.0,2.0,310.0,2.0,10.0,1.0,,,,,
32,odin-lang/Odin,v0.11.0,2019-11-01,,,,,,,,,,,,,
33,odin-lang/Odin,v0.11.1,2019-11-12,,,,,,,,,,,,,
34,odin-lang/Odin,v0.12.0,2020-01-18,,,,,,,,,,,,,
