,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,nightwatchjs/nightwatch,v0.3.0,2014-02-11,,,,,,,,,,,,,
1,nightwatchjs/nightwatch,v0.3.1,2014-02-11,,,,,,,,,,,,,
2,nightwatchjs/nightwatch,v0.3.3,2014-02-15,,,,,,,,,,,,,
3,nightwatchjs/nightwatch,v0.3.2,2014-02-15,,,,,,,,,,,,,
4,nightwatchjs/nightwatch,v0.3.4,2014-02-21,,,,,,,,,,,,,
5,nightwatchjs/nightwatch,v0.3.5,2014-02-21,,,,,,,,,,,,,
6,nightwatchjs/nightwatch,v0.3.6,2014-02-24,,,,,,,,,,,,,
7,nightwatchjs/nightwatch,v0.3.7,2014-02-25,,,,,,,,,,,,,
8,nightwatchjs/nightwatch,v0.4.2,2014-03-17,,,,,,,,,,,,,
9,nightwatchjs/nightwatch,v0.4.1,2014-03-17,,,,,,,,,,,,,
10,nightwatchjs/nightwatch,v0.4.0,2014-03-17,,,,,,,,,,,,,
11,nightwatchjs/nightwatch,v0.4.4,2014-03-17,,,,,,,,,,,,,
12,nightwatchjs/nightwatch,v0.4.3,2014-03-17,,,,,,,,,,,,,
13,nightwatchjs/nightwatch,v0.4.5,2014-03-18,,,,,,,,,,,,,
14,nightwatchjs/nightwatch,v0.4.6,2014-03-21,,,,,,,,,,,,,
15,nightwatchjs/nightwatch,v0.4.7,2014-03-21,,,,,,,,,,,,,
16,nightwatchjs/nightwatch,v0.4.8,2014-03-29,,,,,,,,,,,,,
17,nightwatchjs/nightwatch,v0.4.9,2014-04-02,,,,,,,,,,,,,
18,nightwatchjs/nightwatch,v0.4.10,2014-04-03,,,,,,,,,,,,,
19,nightwatchjs/nightwatch,v0.4.11,2014-04-05,,,,,,,,,,,,,
20,nightwatchjs/nightwatch,v0.4.12,2014-04-07,,,,,,,,,,,,,
21,nightwatchjs/nightwatch,v0.4.13,2014-04-09,,,,,,,,,,,,,
22,nightwatchjs/nightwatch,v0.4.14,2014-04-24,,,,,,,,,,,,,
23,nightwatchjs/nightwatch,v0.4.15,2014-05-05,,,,,,,,,,,,,
24,nightwatchjs/nightwatch,v0.4.16,2014-05-16,,,,,,,,,,,,,
25,nightwatchjs/nightwatch,v0.4.17,2014-05-22,,,,,,,,,,,,,
26,nightwatchjs/nightwatch,v0.5.1,2014-05-26,,,,,,,,,,,,,
27,nightwatchjs/nightwatch,v0.5.2,2014-05-27,,,,,,,,,,,,,
28,nightwatchjs/nightwatch,v0.5.3,2014-05-29,,,,,,,,,,,,,
29,nightwatchjs/nightwatch,v0.5.4,2014-06-04,,,,,,,,,,,,,
30,nightwatchjs/nightwatch,v0.5.6,2014-06-05,,,,,,,,,,,,,
31,nightwatchjs/nightwatch,v0.5.5,2014-06-05,,,,,,,,,,,,,
32,nightwatchjs/nightwatch,v0.5.7,2014-06-16,,,,,,,,,,,,,
33,nightwatchjs/nightwatch,v0.5.8,2014-06-19,,,,,,,,,,,,,
34,nightwatchjs/nightwatch,v0.5.9,2014-07-07,,,,,,,,,,,,,
35,nightwatchjs/nightwatch,v0.5.10,2014-07-09,,,,,,,,,,,,,
36,nightwatchjs/nightwatch,v0.5.11,2014-07-20,,,,,,,,,,,,,
37,nightwatchjs/nightwatch,v0.5.12,2014-07-31,,,,,,,,,,,,,
38,nightwatchjs/nightwatch,v0.5.13,2014-08-01,,,,,,,,,,,,,
39,nightwatchjs/nightwatch,v0.5.16,2014-08-18,,,,,,,,,,,,,
40,nightwatchjs/nightwatch,v0.5.15,2014-08-18,,,,,,,,,,,,,
41,nightwatchjs/nightwatch,v0.5.14,2014-08-18,,,,,,,,,,,,,
42,nightwatchjs/nightwatch,v0.5.18,2014-08-19,,,,,,,,,,,,,
43,nightwatchjs/nightwatch,v0.5.17,2014-08-19,,,,,,,,,,,,,
44,nightwatchjs/nightwatch,v0.5.19,2014-08-25,,,,,,,,,,,,,
45,nightwatchjs/nightwatch,v0.5.21,2014-08-28,,,,,,,,,,,,,
46,nightwatchjs/nightwatch,v0.5.20,2014-08-28,,,,,,,,,,,,,
47,nightwatchjs/nightwatch,v0.5.22,2014-09-08,,,,,,,,,,,,,
48,nightwatchjs/nightwatch,v0.5.23,2014-09-11,,,,,,,,,,,,,
49,nightwatchjs/nightwatch,v0.5.24,2014-09-14,,,,,,,,,,,,,
50,nightwatchjs/nightwatch,v0.5.25,2014-09-16,,,,,,,,,,,,,
51,nightwatchjs/nightwatch,v0.5.26,2014-09-17,,,,,,,,,,,,,
52,nightwatchjs/nightwatch,v0.5.27,2014-09-21,,,,,,,,,,,,,
53,nightwatchjs/nightwatch,v0.5.28,2014-09-22,,,,,,,,,,,,,
54,nightwatchjs/nightwatch,v0.5.29,2014-10-03,,,,,,,,,,,,,
55,nightwatchjs/nightwatch,v0.5.30,2014-10-12,,,,,,,,,,,,,
56,nightwatchjs/nightwatch,v0.5.31,2014-10-13,,,,,,,,,,,,,
57,nightwatchjs/nightwatch,v0.5.32,2014-10-26,,,,,,,,,,,,,
58,nightwatchjs/nightwatch,v0.5.33,2014-11-06,,,,,,,,,,,,,
59,nightwatchjs/nightwatch,v0.5.34,2014-11-22,,,,,,,,,,,,,
60,nightwatchjs/nightwatch,v0.5.35,2014-12-03,,,,,,,,,,,,,
61,nightwatchjs/nightwatch,v0.5.36,2015-01-05,,,,,,,,,,,,,
62,nightwatchjs/nightwatch,v0.6.0,2015-04-04,,,,,,,,,,,,,
63,nightwatchjs/nightwatch,v0.6.1,2015-04-07,,,,,,,,,,,,,
64,nightwatchjs/nightwatch,v0.6.2,2015-04-10,,,,,,,,,,,,,
65,nightwatchjs/nightwatch,v0.6.3,2015-04-10,,,,,,,,,,,,,
66,nightwatchjs/nightwatch,v0.6.4,2015-04-16,,,,,,,,,,,,,
67,nightwatchjs/nightwatch,v0.6.5,2015-04-23,,,,,,,,,,,,,
68,nightwatchjs/nightwatch,v0.6.6,2015-04-24,,,,,,,,,,,,,
69,nightwatchjs/nightwatch,v0.6.7,2015-04-28,,,,,,,,,,,,,
70,nightwatchjs/nightwatch,v0.6.8,2015-05-09,,,,,,,,,,,,,
71,nightwatchjs/nightwatch,v0.6.9,2015-05-14,,,,,,,,,,,,,
72,nightwatchjs/nightwatch,v0.6.10,2015-05-15,,,,,,,,,,,,,
73,nightwatchjs/nightwatch,v0.6.11,2015-05-18,,,,,,,,,,,,,
74,nightwatchjs/nightwatch,v0.6.12,2015-05-20,,,,,,,,,,,,,
75,nightwatchjs/nightwatch,v0.6.13,2015-05-28,,,,,,,,,,,,,
76,nightwatchjs/nightwatch,v0.6.14,2015-06-11,,,,,,,,,,,,,
77,nightwatchjs/nightwatch,v0.6.15,2015-06-14,,,,,,,,,,,,,
78,nightwatchjs/nightwatch,v0.7.0,2015-06-21,OTHER,217.0,20914.0,4.0,43.0,4.0,16.0,1.0,,,,,
79,nightwatchjs/nightwatch,v0.7.1,2015-06-22,OTHER,217.0,20916.0,2.0,,3.0,4.0,1.0,,,,,
80,nightwatchjs/nightwatch,v0.7.3,2015-06-23,OTHER,217.0,20964.0,1.0,1.0,1.0,2.0,1.0,,,,,
81,nightwatchjs/nightwatch,v0.7.2,2015-06-23,OTHER,217.0,20964.0,1.0,3.0,1.0,2.0,1.0,,,,,
82,nightwatchjs/nightwatch,v0.7.4,2015-06-24,OTHER,218.0,21019.0,1.0,2.0,1.0,2.0,1.0,,,,,
83,nightwatchjs/nightwatch,v0.7.5,2015-07-01,OTHER,218.0,21227.0,8.0,4.0,14.0,200.0,1.0,1.0,4.0,6.0,160.0,1.0
84,nightwatchjs/nightwatch,v0.7.6,2015-07-02,OTHER,218.0,21231.0,3.0,1.0,2.0,3.0,1.0,,,,,
85,nightwatchjs/nightwatch,v0.7.8,2015-07-16,OTHER,219.0,21571.0,2.0,,3.0,6.0,1.0,,,,,
86,nightwatchjs/nightwatch,v0.7.7,2015-07-16,OTHER,219.0,21573.0,2.0,7.0,2.0,3.0,1.0,,,,,
87,nightwatchjs/nightwatch,v0.7.9,2015-07-17,OTHER,219.0,21661.0,1.0,4.0,,0.0,1.0,,,,,
88,nightwatchjs/nightwatch,v0.7.10,2015-08-13,OTHER,219.0,21880.0,3.0,6.0,2.0,19.0,1.0,1.0,6.0,1.0,17.0,1.0
89,nightwatchjs/nightwatch,v0.7.11,2015-08-14,OTHER,219.0,21882.0,3.0,1.0,1.0,2.0,1.0,,,,,
90,nightwatchjs/nightwatch,v0.8.0,2015-09-11,OTHER,228.0,22836.0,7.0,21.0,5.0,103.0,1.0,1.0,21.0,2.0,89.0,1.0
91,nightwatchjs/nightwatch,v0.8.1,2015-09-11,OTHER,228.0,22863.0,1.0,1.0,1.0,2.0,1.0,,,,,
92,nightwatchjs/nightwatch,v0.8.2,2015-09-13,OTHER,229.0,22949.0,2.0,2.0,7.0,125.0,1.0,,,,,
93,nightwatchjs/nightwatch,v0.8.3,2015-09-16,OTHER,228.0,22977.0,1.0,1.0,1.0,2.0,1.0,,,,,
94,nightwatchjs/nightwatch,v0.8.4,2015-10-04,OTHER,230.0,23162.0,4.0,2.0,14.0,216.0,1.0,,,,,
95,nightwatchjs/nightwatch,v0.8.5,2015-10-14,OTHER,232.0,23241.0,4.0,5.0,6.0,16.0,1.0,,,,,
96,nightwatchjs/nightwatch,v0.8.6,2015-10-19,OTHER,232.0,23293.0,3.0,1.0,6.0,58.0,1.0,,,,,
97,nightwatchjs/nightwatch,v0.8.7,2015-11-30,,,,,,,,,,,,,
98,nightwatchjs/nightwatch,v0.8.8,2015-12-01,,,,,,,,,,,,,
99,nightwatchjs/nightwatch,v0.8.9,2015-12-08,OTHER,233.0,23445.0,2.0,2.0,1.0,2.0,1.0,,,,,
100,nightwatchjs/nightwatch,v0.8.10,2015-12-26,OTHER,233.0,23541.0,1.0,1.0,1.0,2.0,1.0,,,,,
101,nightwatchjs/nightwatch,v0.8.11,2015-12-28,OTHER,233.0,23626.0,14.0,7.0,17.0,122.0,1.0,,,,,
102,nightwatchjs/nightwatch,v0.8.12,2015-12-29,OTHER,233.0,23638.0,2.0,1.0,2.0,9.0,1.0,,,,,
103,nightwatchjs/nightwatch,v0.8.13,2015-12-31,OTHER,235.0,23740.0,14.0,9.0,15.0,72.0,1.0,,,,,
104,nightwatchjs/nightwatch,v0.8.14,2016-01-02,OTHER,243.0,23993.0,2.0,3.0,1.0,2.0,1.0,,,,,
105,nightwatchjs/nightwatch,v0.8.15,2016-01-05,OTHER,243.0,23995.0,2.0,4.0,4.0,14.0,1.0,,,,,
