,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,zloirock/core-js,v0.1.2,2014-11-19,,,,,,,,,,,,,,,,,,
1,zloirock/core-js,v0.1.3,2014-11-20,,,,,,,,,,,,,,,,,,
2,zloirock/core-js,v0.1.4,2014-11-27,,,,,,,,,,,,,,,,,,
3,zloirock/core-js,v0.1.5,2014-12-01,,,,,,,,,,,,,,,,,,
4,zloirock/core-js,v0.2.0,2014-12-07,,,,,,,,,,,,,,,,,,
5,zloirock/core-js,v0.2.1,2014-12-12,,,,,,,,,,,,,,,,,,
6,zloirock/core-js,v0.2.2,2014-12-13,,,,,,,,,,,,,,,,,,
7,zloirock/core-js,v0.2.3,2014-12-15,,,,,,,,,,,,,,,,,,
8,zloirock/core-js,v0.2.4,2014-12-17,,,,,,,,,,,,,,,,,,
9,zloirock/core-js,v0.2.5,2014-12-20,,,,,,,,,,,,,,,,,,
10,zloirock/core-js,v0.3.1,2014-12-23,,,,,,,,,,,,,,,,,,
11,zloirock/core-js,v0.3.0,2014-12-23,,,,,,,,,,,,,,,,,,
12,zloirock/core-js,v0.3.2,2014-12-25,,,,,,,,,,,,,,,,,,
13,zloirock/core-js,v0.3.3,2014-12-28,,,,,,,,,,,,,,,,,,
14,zloirock/core-js,v0.4.0,2015-01-04,,,,,,,,,,,,,,,,,,
15,zloirock/core-js,v0.4.1,2015-01-06,,,,,,,,,,,,,,,,,,
16,zloirock/core-js,v0.4.2,2015-01-10,,,,,,,,,,,,,,,,,,
17,zloirock/core-js,v0.4.3,2015-01-10,,,,,,,,,,,,,,,,,,
18,zloirock/core-js,v0.4.4,2015-01-11,,,,,,,,,,,,,,,,,,
19,zloirock/core-js,v0.4.5,2015-01-16,,,,,,,,,,,,,,,,,,
20,zloirock/core-js,v0.4.6,2015-01-21,,,,,,,,,,,,,,,,,,
21,zloirock/core-js,v0.4.7,2015-01-25,,,,,,,,,,,,,,,,,,
22,zloirock/core-js,v0.4.8,2015-01-25,,,,,,,,,,,,,,,,,,
23,zloirock/core-js,v0.4.9,2015-01-27,,,,,,,,,,,,,,,,,,
24,zloirock/core-js,v0.4.10,2015-01-28,,,,,,,,,,,,,,,,,,
25,zloirock/core-js,0.5.0,2015-02-08,,,,,,,,,,,,,,,,,,
26,zloirock/core-js,0.5.1,2015-02-09,,,,,,,,,,,,,,,,,,
27,zloirock/core-js,0.5.2,2015-02-10,,,,,,,,,,,,,,,,,,
28,zloirock/core-js,0.5.3,2015-02-14,,,,,,,,,,,,,,,,,,
29,zloirock/core-js,0.5.4,2015-02-15,,,,,,,,,,,,,,,,,,
30,zloirock/core-js,0.6.0,2015-02-23,,,,,,,,,,,,,,,,,,
31,zloirock/core-js,0.6.1,2015-02-24,,,,,,,,,,,,,,,,,,
32,zloirock/core-js,0.7.0,2015-03-06,,,,,,,,,,,,,,,,,,
33,zloirock/core-js,0.7.1,2015-03-07,,,,,,,,,,,,,,,,,,
34,zloirock/core-js,0.7.2,2015-03-09,,,,,,,,,,,,,,,,,,
35,zloirock/core-js,0.8.0,2015-04-02,,,,,,,,,,,,,,,,,,
36,zloirock/core-js,0.8.1,2015-04-03,,,,,,,,,,,,,,,,,,
37,zloirock/core-js,0.8.2,2015-04-13,,,,,,,,,,,,,,,,,,
38,zloirock/core-js,0.8.3,2015-04-14,,,,,,,,,,,,,,,,,,
39,zloirock/core-js,0.8.4,2015-04-18,,,,,,,,,,,,,,,,,,
40,zloirock/core-js,v0.9.0,2015-04-24,,,,,,,,,,,,,,,,,,
41,zloirock/core-js,v0.9.1,2015-04-25,,,,,,,,,,,,,,,,,,
42,zloirock/core-js,v0.9.2,2015-04-25,,,,,,,,,,,,,,,,,,
43,zloirock/core-js,v0.9.3,2015-04-26,,,,,,,,,,,,,,,,,,
44,zloirock/core-js,v0.9.4,2015-04-27,,,,,,,,,,,,,,,,,,
45,zloirock/core-js,v0.9.5,2015-04-30,,,,,,,,,,,,,,,,,,
46,zloirock/core-js,v0.9.6,2015-05-01,,,,,,,,,,,,,,,,,,
47,zloirock/core-js,v0.9.7,2015-05-07,,,,,,,,,,,,,,,,,,
48,zloirock/core-js,v0.9.8,2015-05-12,,,,,,,,,,,,,,,,,,
49,zloirock/core-js,v0.9.9,2015-05-14,,,,,,,,,,,,,,,,,,
50,zloirock/core-js,v0.9.10,2015-05-16,,,,,,,,,,,,,,,,,,
51,zloirock/core-js,v0.9.11,2015-05-18,,,,,,,,,,,,,,,,,,
52,zloirock/core-js,v0.9.12,2015-05-24,,,,,,,,,,,,,,,,,,
53,zloirock/core-js,v0.9.13,2015-05-25,,,,,,,,,,,,,,,,,,
54,zloirock/core-js,v0.9.14,2015-06-04,,,,,,,,,,,,,,,,,,
55,zloirock/core-js,v0.9.15,2015-06-09,,,,,,,,,,,,,,,,,,
56,zloirock/core-js,v0.9.16,2015-06-11,,,,,,,,,,,,,,,,,,
57,zloirock/core-js,v0.9.17,2015-06-14,,,,,,,,,,,,,,,,,,
58,zloirock/core-js,v0.9.18,2015-06-17,,,,,,,,,,,,,,,,,,
59,zloirock/core-js,v1.0.0,2015-07-22,,,,,,,,,,,,,,,,,,
60,zloirock/core-js,v1.0.1,2015-08-01,,,,,,,,,,,,,,,,,,
61,zloirock/core-js,v1.1.0,2015-08-17,,,,,,,,,,,,,,,,,,
62,zloirock/core-js,v1.1.1,2015-08-20,,,,,,,,,,,,,,,,,,
63,zloirock/core-js,v1.1.2,2015-08-28,,,,,,,,,,,,,,,,,,
64,zloirock/core-js,v1.1.3,2015-08-29,,,,,,,,,,,,,,,,,,
65,zloirock/core-js,v1.1.4,2015-09-05,,,,,,,,,,,,,,,,,,
66,zloirock/core-js,v1.2.0,2015-09-27,,,,,,,,,,,,,,,,,,
67,zloirock/core-js,v1.2.1,2015-10-02,,,,,,,,,,,,,,,,,,
68,zloirock/core-js,v1.2.2,2015-10-18,,,,,,,,,,,,,,,,,,
69,zloirock/core-js,v1.2.3,2015-10-23,,,,,,,,,,,,,,,,,,
70,zloirock/core-js,v1.2.4,2015-11-01,,,,,,,,,,,,,,,,,,
71,zloirock/core-js,v1.2.5,2015-11-02,,,,,,,,,,,,,,,,,,
72,zloirock/core-js,v1.2.6,2015-11-09,,,,,,,,,,,,,,,,,,
73,zloirock/core-js,v2.0.0-alpha,2015-11-26,,,,1.0,67.0,1.0,2.0,1.0,,,,,,,,,,
74,zloirock/core-js,v2.0.0-beta,2015-12-08,,,,,,,,,,,,,,,,,,
75,zloirock/core-js,v2.0.0-beta.2,2015-12-18,,,,,,,,,,,,,,,,,,
76,zloirock/core-js,v2.0.0,2015-12-24,,,,,,,,,,,,,,,,,,
77,zloirock/core-js,v2.0.1,2015-12-31,,,,,,,,,,,,,,,,,,
78,zloirock/core-js,v2.0.2,2016-01-04,,,,,,,,,,,,,,,,,,
79,zloirock/core-js,v2.0.3,2016-01-11,,,,,,,,,,,,,,,,,,
80,zloirock/core-js,v2.1.0,2016-02-09,,,,,,,,,,,,,,,,,,
81,zloirock/core-js,v2.1.1,2016-02-22,,,,,,,,,,,,,,,,,,
82,zloirock/core-js,v2.1.3,2016-02-29,,,,,,,,,,,,,,,,,,
83,zloirock/core-js,v2.1.2,2016-02-29,,,,,,,,,,,,,,,,,,
84,zloirock/core-js,v2.1.4,2016-03-08,,,,,,,,,,,,,,,,,,
85,zloirock/core-js,v2.1.5,2016-03-12,,,,,,,,,,,,,,,,,,
86,zloirock/core-js,v2.2.0,2016-03-15,,,,,,,,,,,,,,,,,,
87,zloirock/core-js,v2.2.1,2016-03-19,,,,,,,,,,,,,,,,,,
88,zloirock/core-js,v2.2.2,2016-04-06,,,,,,,,,,,,,,,,,,
89,zloirock/core-js,v2.3.0,2016-04-24,,,,,,,,,,,,,,,,,,
90,zloirock/core-js,v2.4.0,2016-05-08,,,,,,,,,,,,,,,,,,
91,zloirock/core-js,v1.2.7,2016-07-18,,,,,,,,,,,,,,,,,,
92,zloirock/core-js,v2.4.1,2016-07-18,,,,1.0,356.0,1.0,2.0,1.0,,,,,,,,,,
93,zloirock/core-js,v2.5.0,2017-08-06,,,,1.0,98.0,1.0,560.0,1.0,,,,,,,,,,
94,zloirock/core-js,v2.5.1,2017-09-01,,,,,,,,,,,,,,,,,,
95,zloirock/core-js,v2.5.2,2017-12-09,,,,,,,,,,,,,,,,,,
96,zloirock/core-js,v2.5.3,2017-12-12,,,,,,,,,,,,,,,,,,
97,zloirock/core-js,v3.0.0-alpha.1,2018-03-26,,,,,,,,,,,,,,,,,,
98,zloirock/core-js,v3.0.0-alpha.2,2018-03-27,,,,,,,,,,,,,,,,,,
99,zloirock/core-js,v2.5.4,2018-03-27,,,,,,,,,,,,,,,,,,
100,zloirock/core-js,v3.0.0-alpha.3,2018-03-31,,,,,,,,,,,,,,,,,,
101,zloirock/core-js,v3.0.0-alpha.4,2018-04-09,,,,,,,,,,,,,,,,,,
102,zloirock/core-js,v2.5.5,2018-04-09,,,,,,,,,,,,,,,,,,
103,zloirock/core-js,v2.5.6,2018-05-07,,,,,,,,,,,,,,,,,,
104,zloirock/core-js,v3.0.0-beta.1,2018-05-20,,,,,,,,,,,,,,,,,,
105,zloirock/core-js,v3.0.0-beta.2,2018-05-26,,,,,,,,,,,,,,,,,,
106,zloirock/core-js,v2.5.7,2018-05-26,,,,,,,,,,,,,,,,,,
107,zloirock/core-js,v3.0.0-beta.3,2018-06-07,,,,,,,,,,,,,,,,,,
108,zloirock/core-js,v3.0.0-beta.4,2018-12-04,,,,,,,,,,,,,,,,,,
109,zloirock/core-js,v3.0.0-beta.5,2018-12-11,,,,,,,,,,,,,,,,,,
110,zloirock/core-js,v3.0.0-beta.6,2018-12-18,,,,,,,,,,,,,,,,,,
111,zloirock/core-js,v2.6.1,2018-12-18,,,,,,,,,,,,,,,,,,
112,zloirock/core-js,v2.6.0,2018-12-18,,,,,,,,,,,,,,,,,,
113,zloirock/core-js,v3.0.0-beta.7,2018-12-27,,,,,,,,,,,,,,,,,,
114,zloirock/core-js,v3.0.0-beta.8,2019-01-10,,,,,,,,,,,,,,,,,,
115,zloirock/core-js,v2.6.2,2019-01-10,,,,,,,,,,,,,,,,,,
116,zloirock/core-js,v3.0.0-beta.9,2019-01-17,,,,,,,,,,,,,,,,,,
117,zloirock/core-js,v3.0.0-beta.10,2019-01-22,,,,,,,,,,,,,,,,,,
118,zloirock/core-js,v2.6.3,2019-01-22,,,,,,,,,,,,,,,,,,
119,zloirock/core-js,v3.0.0-beta.11,2019-01-28,,,,,,,,,,,,,,,,,,
120,zloirock/core-js,v3.0.0-beta.12,2019-02-02,,,,,,,,,,,,,,,,,,
