,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,systemjs/systemjs,0.1.1,2013-07-23,,,,,,,,,,,,,
1,systemjs/systemjs,0.1.2,2013-08-30,,,,,,,,,,,,,
2,systemjs/systemjs,0.2.0,2013-09-23,,,,,,,,,,,,,
3,systemjs/systemjs,0.2.1,2013-10-01,,,,,,,,,,,,,
4,systemjs/systemjs,0.2.2,2013-11-07,,,,,,,,,,,,,
5,systemjs/systemjs,0.2.3,2013-11-12,,,,,,,,,,,,,
6,systemjs/systemjs,0.2.4,2013-11-23,,,,,,,,,,,,,
7,systemjs/systemjs,0.3.0,2013-12-05,,,,,,,,,,,,,
8,systemjs/systemjs,0.3.1,2013-12-06,,,,,,,,,,,,,
9,systemjs/systemjs,0.4.0,2014-02-05,SUPPORT,1264.0,76064.0,1.0,87.0,12.0,694.0,1.0,2.0,99.0,24.0,1388.0,1.0
10,systemjs/systemjs,0.4.1,2014-02-09,,,,,,,,,,,,,
11,systemjs/systemjs,0.4.2,2014-02-11,SUPPORT,1268.0,76140.0,1.0,4.0,6.0,23.0,1.0,2.0,8.0,12.0,46.0,1.0
12,systemjs/systemjs,0.4.3,2014-02-14,,,,,,,,,,,,,
13,systemjs/systemjs,0.5.0,2014-03-04,SUPPORT,1271.0,76577.0,1.0,13.0,1.0,7.0,1.0,2.0,22.0,2.0,14.0,1.0
14,systemjs/systemjs,0.5.2,2014-03-04,SUPPORT,1272.0,76622.0,1.0,1.0,6.0,35.0,1.0,2.0,2.0,12.0,70.0,1.0
15,systemjs/systemjs,0.5.3,2014-03-10,,,,,,,,,,,,,
16,systemjs/systemjs,0.5.4,2014-03-10,SUPPORT,1273.0,76800.0,1.0,2.0,3.0,24.0,1.0,2.0,4.0,6.0,48.0,1.0
17,systemjs/systemjs,0.5.5,2014-03-27,SUPPORT,1273.0,76794.0,1.0,14.0,20.0,266.0,1.0,2.0,27.0,40.0,532.0,1.0
18,systemjs/systemjs,0.6.0,2014-05-07,SUPPORT,115.0,6434.0,4.0,35.0,31.0,5877.0,1.0,8.0,67.0,62.0,11754.0,1.0
19,systemjs/systemjs,0.5.6,2014-05-14,,,,,,,,,,,,,
20,systemjs/systemjs,0.4.4,2014-05-16,,,,,,,,,,,,,
21,systemjs/systemjs,0.6.1,2014-05-18,SUPPORT,118.0,7537.0,9.0,99.0,72.0,6346.0,1.0,18.0,185.0,144.0,12692.0,1.0
22,systemjs/systemjs,0.6.3,2014-05-19,,,,,,,,,,,,,
23,systemjs/systemjs,0.6.2,2014-05-19,,,,,,,,,,,,,
24,systemjs/systemjs,0.6.5,2014-05-23,,,,,,,,,,,,,
25,systemjs/systemjs,0.6.6,2014-05-23,,,,,,,,,,,,,
26,systemjs/systemjs,0.6.4,2014-05-23,,,,,,,,,,,,,
27,systemjs/systemjs,0.6.7,2014-06-26,,,,,,,,,,,,,
28,systemjs/systemjs,0.6.8,2014-08-02,SUPPORT,135.0,8263.0,4.0,35.0,9.0,416.0,1.0,8.0,65.0,18.0,832.0,1.0
29,systemjs/systemjs,0.7.0,2014-08-05,,,,,,,,,,,,,
30,systemjs/systemjs,0.8.0,2014-08-11,,,,,,,,,,,,,
31,systemjs/systemjs,0.8.1,2014-08-13,,,,,,,,,,,,,
32,systemjs/systemjs,0.8.2,2014-08-20,,,,,,,,,,,,,
33,systemjs/systemjs,0.9.0,2014-09-26,SUPPORT,143.0,8579.0,1.0,12.0,4.0,34.0,1.0,2.0,23.0,8.0,68.0,1.0
34,systemjs/systemjs,0.9.1,2014-10-03,SUPPORT,146.0,8597.0,1.0,6.0,3.0,20.0,1.0,2.0,12.0,6.0,40.0,1.0
35,systemjs/systemjs,0.9.2,2014-10-21,,,,,,,,,,,,,
36,systemjs/systemjs,0.9.3,2014-10-21,,,,,,,,,,,,,
37,systemjs/systemjs,0.10.0,2014-11-18,,,,,,,,,,,,,
38,systemjs/systemjs,0.10.1,2014-11-24,,,,,,,,,,,,,
39,systemjs/systemjs,0.10.2,2014-12-01,,,,,,,,,,,,,
40,systemjs/systemjs,0.11.0,2014-12-23,SUPPORT,164.0,8779.0,1.0,13.0,4.0,18.0,1.0,2.0,24.0,8.0,36.0,1.0
41,systemjs/systemjs,0.11.1,2015-01-03,,,,,,,,,,,,,
42,systemjs/systemjs,0.11.2,2015-01-15,,,,,,,,,,,,,
43,systemjs/systemjs,0.11.3,2015-01-19,,,,,,,,,,,,,
44,systemjs/systemjs,0.12.0,2015-01-28,,,,,,,,,,,,,
45,systemjs/systemjs,0.12.1,2015-01-30,,,,,,,,,,,,,
46,systemjs/systemjs,0.13.0,2015-02-01,,,,,,,,,,,,,
47,systemjs/systemjs,0.13.1,2015-02-04,,,,,,,,,,,,,
