,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,gitlabhq/gitlabhq,v0.9.5,2011-10-10,,,,,,,,,,,,,
1,gitlabhq/gitlabhq,v0.9.6,2011-10-11,,,,,,,,,,,,,
2,gitlabhq/gitlabhq,v1.0.0,2011-10-13,,,,,,,,,,,,,
3,gitlabhq/gitlabhq,v1.0.1,2011-10-15,,,,,,,,,,,,,
4,gitlabhq/gitlabhq,v1.0.2,2011-10-21,,,,,,,,,,,,,
5,gitlabhq/gitlabhq,v1.1.0pre,2011-10-21,,,,,,,,,,,,,
6,gitlabhq/gitlabhq,v1.1.0,2011-10-22,,,,,,,,,,,,,
7,gitlabhq/gitlabhq,v1.2.0,2011-11-22,,,,,,,,,,,,,
8,gitlabhq/gitlabhq,v1.2.0pre,2011-11-22,FEATURE,398.0,16225.0,4.0,385.0,,0.0,1.0,3.0,387.0,,0.0,2.0
9,gitlabhq/gitlabhq,v1.2.1,2011-11-22,,,,,,,,,,,,,
10,gitlabhq/gitlabhq,v1.2.2,2011-11-26,FEATURE,397.0,16366.0,1.0,24.0,,0.0,0.0,1.0,24.0,,0.0,1.0
11,gitlabhq/gitlabhq,v2.0.0,2011-12-21,FEATURE,461.0,18622.0,1.0,163.0,,0.0,1.0,,,,,
12,gitlabhq/gitlabhq,v2.1.0,2012-01-22,FEATURE,507.0,20665.0,5.0,147.0,16.0,223.0,1.0,1.0,147.0,16.0,223.0,1.0
13,gitlabhq/gitlabhq,v2.2.0pre,2012-02-20,FEATURE,533.0,21179.0,1.0,128.0,,0.0,1.0,,,,,
14,gitlabhq/gitlabhq,v2.2.0,2012-02-22,,,,,,,,,,,,,
15,gitlabhq/gitlabhq,v2.3.0pre,2012-03-20,,,,,,,,,,,,,
16,gitlabhq/gitlabhq,v2.3.0,2012-03-21,,,,,,,,,,,,,
17,gitlabhq/gitlabhq,v2.3.1,2012-03-23,,,,,,,,,,,,,
18,gitlabhq/gitlabhq,v2.4.0pre,2012-04-19,,,,,,,,,,,,,
19,gitlabhq/gitlabhq,v2.4.0,2012-04-22,,,,,,,,,,,,,
20,gitlabhq/gitlabhq,v2.4.1,2012-04-23,,,,,,,,,,,,,
21,gitlabhq/gitlabhq,v2.4.2,2012-04-30,,,,,,,,,,,,,
22,gitlabhq/gitlabhq,v2.5.0,2012-05-22,FEATURE,627.0,26012.0,1.0,75.0,9.0,150.0,1.0,,,,,
23,gitlabhq/gitlabhq,v2.6.0pre,2012-06-13,,,,,,,,,,,,,
24,gitlabhq/gitlabhq,v2.6.0,2012-06-21,FEATURE,615.0,23088.0,4.0,69.0,17.0,297.0,1.0,,,,,
25,gitlabhq/gitlabhq,v2.6.2,2012-06-22,,,,,,,,,,,,,
26,gitlabhq/gitlabhq,v2.6.1,2012-06-22,,,,,,,,,,,,,
27,gitlabhq/gitlabhq,v2.6.3,2012-06-26,,,,,,,,,,,,,
28,gitlabhq/gitlabhq,v2.7.0pre,2012-07-18,FEATURE,655.0,25674.0,5.0,117.0,11.0,65.0,1.0,,,,,
29,gitlabhq/gitlabhq,v2.7.0,2012-07-21,,,,,,,,,,,,,
30,gitlabhq/gitlabhq,v2.8.0pre,2012-08-12,FEATURE,677.0,27163.0,2.0,143.0,14.0,382.0,1.0,,,,,
31,gitlabhq/gitlabhq,v2.8.0,2012-08-22,FEATURE,679.0,26931.0,1.0,30.0,3.0,16.0,1.0,,,,,
32,gitlabhq/gitlabhq,v2.8.1,2012-08-23,,,,,,,,,,,,,
33,gitlabhq/gitlabhq,v2.8.2,2012-08-24,,,,,,,,,,,,,
34,gitlabhq/gitlabhq,v2.9.0,2012-09-21,FEATURE,1597.0,31295.0,7.0,458.0,78.0,1649.0,2.0,,,,,
35,gitlabhq/gitlabhq,v2.9.1,2012-09-24,,,,,,,,,,,,,
36,gitlabhq/gitlabhq,v3.0.0,2012-10-22,FEATURE,901.0,196198.0,7.0,349.0,18.0,647.0,3.0,,,,,
37,gitlabhq/gitlabhq,v3.0.1,2012-10-22,,,,,,,,,,,,,
38,gitlabhq/gitlabhq,v3.0.2,2012-10-24,,,,,,,,,,,,,
39,gitlabhq/gitlabhq,v3.0.3,2012-10-24,,,,,,,,,,,,,
40,gitlabhq/gitlabhq,v3.1.0,2012-11-22,FEATURE,1135.0,298704.0,1.0,230.0,3.0,17.0,1.0,,,,,
41,gitlabhq/gitlabhq,v4.0.0rc1,2012-12-20,FEATURE,1166.0,301875.0,2.0,319.0,3.0,53.0,1.0,,,,,
42,gitlabhq/gitlabhq,v4.0.0rc2,2012-12-22,,,,,,,,,,,,,
43,gitlabhq/gitlabhq,v4.0.0,2012-12-23,,,,,,,,,,,,,
44,gitlabhq/gitlabhq,v4.1.0,2013-01-21,FEATURE,1395.0,280631.0,2.0,372.0,8.0,637.0,1.0,,,,,
45,gitlabhq/gitlabhq,v4.2.0,2013-02-21,FEATURE,1487.0,284749.0,3.0,208.0,,0.0,1.0,,,,,
46,gitlabhq/gitlabhq,v5.0.0,2013-03-21,FEATURE,1162.0,212468.0,13.0,645.0,43.0,184.0,1.0,,,,,
47,gitlabhq/gitlabhq,v5.0.1,2013-04-04,,,,,,,,,,,,,
48,gitlabhq/gitlabhq,v5.1.0,2013-04-22,FEATURE,1198.0,212898.0,5.0,342.0,13.0,155.0,1.0,,,,,
49,gitlabhq/gitlabhq,v5.2.0,2013-05-20,FEATURE,1231.0,215265.0,11.0,270.0,28.0,363.0,1.0,,,,,
50,gitlabhq/gitlabhq,v5.2.1,2013-06-10,,,,,,,,,,,,,
51,gitlabhq/gitlabhq,v5.3.0,2013-06-19,FEATURE,1304.0,219241.0,7.0,299.0,5.0,51.0,1.0,,,,,
52,gitlabhq/gitlabhq,v5.4.0,2013-07-22,FEATURE,1312.0,220477.0,1.0,127.0,,0.0,1.0,,,,,
53,gitlabhq/gitlabhq,v6.0.0,2013-08-20,FEATURE,1293.0,220635.0,5.0,523.0,5.0,49.0,1.0,,,,,
54,gitlabhq/gitlabhq,v6.0.1,2013-09-03,,,,,,,,,,,,,
55,gitlabhq/gitlabhq,v6.0.2,2013-09-11,,,,,,,,,,,,,
56,gitlabhq/gitlabhq,v6.1.0,2013-09-22,FEATURE,1311.0,222858.0,8.0,265.0,,0.0,1.0,,,,,
57,gitlabhq/gitlabhq,v6.2.0,2013-10-21,FEATURE,1335.0,225191.0,19.0,337.0,15.0,178.0,1.0,,,,,
58,gitlabhq/gitlabhq,v6.2.1,2013-10-28,,,,,,,,,,,,,
59,gitlabhq/gitlabhq,v6.2.2,2013-10-31,,,,,,,,,,,,,
60,gitlabhq/gitlabhq,v5.4.1,2013-11-04,,,,,,,,,,,,,
61,gitlabhq/gitlabhq,v6.2.3,2013-11-04,,,,,,,,,,,,,
62,gitlabhq/gitlabhq,v5.4.2,2013-11-14,,,,,,,,,,,,,
63,gitlabhq/gitlabhq,v6.2.4,2013-11-14,FEATURE,1335.0,225200.0,32.0,1153.0,20.0,227.0,1.0,,,,,
64,gitlabhq/gitlabhq,v6.3.0,2013-11-22,FEATURE,1380.0,227860.0,46.0,1427.0,38.0,536.0,1.0,,,,,
65,gitlabhq/gitlabhq,v6.4.0.pre1,2013-12-02,FEATURE,1391.0,229546.0,7.0,111.0,1.0,1.0,1.0,,,,,
66,gitlabhq/gitlabhq,v6.4.0.pre2,2013-12-03,,,,,,,,,,,,,
67,gitlabhq/gitlabhq,v6.3.1,2013-12-05,,,,,,,,,,,,,
68,gitlabhq/gitlabhq,v6.4.0.pre3,2013-12-13,FEATURE,1394.0,230122.0,13.0,268.0,1.0,1.0,1.0,,,,,
69,gitlabhq/gitlabhq,v6.4.0,2013-12-20,FEATURE,1409.0,230901.0,8.0,86.0,,0.0,2.0,,,,,
70,gitlabhq/gitlabhq,v6.4.2,2013-12-23,,,,,,,,,,,,,
71,gitlabhq/gitlabhq,v6.4.1,2013-12-23,,,,,,,,,,,,,
72,gitlabhq/gitlabhq,v6.4.3,2013-12-23,,,,,,,,,,,,,
73,gitlabhq/gitlabhq,v6.5.0.rc1,2014-01-20,FEATURE,1418.0,231887.0,12.0,387.0,,0.0,1.0,,,,,
74,gitlabhq/gitlabhq,v6.5.0,2014-01-22,,,,,,,,,,,,,
75,gitlabhq/gitlabhq,v6.5.1,2014-01-23,,,,,,,,,,,,,
76,gitlabhq/gitlabhq,v6.6.0.pre1,2014-02-14,FEATURE,1296.0,72056.0,6.0,351.0,6.0,159.0,2.0,,,,,
77,gitlabhq/gitlabhq,v6.6.0.rc1,2014-02-20,FEATURE,1312.0,72559.0,3.0,92.0,,0.0,2.0,,,,,
78,gitlabhq/gitlabhq,v6.6.0,2014-02-21,,,,,,,,,,,,,
79,gitlabhq/gitlabhq,v6.6.1,2014-02-24,,,,,,,,,,,,,
80,gitlabhq/gitlabhq,v6.6.2,2014-02-25,,,,,,,,,,,,,
81,gitlabhq/gitlabhq,v6.6.3,2014-02-26,,,,,,,,,,,,,
82,gitlabhq/gitlabhq,v6.6.4,2014-02-27,,,,,,,,,,,,,
83,gitlabhq/gitlabhq,v6.6.5,2014-03-05,FEATURE,1313.0,72792.0,1.0,6.0,9.0,37.0,1.0,,,,,
84,gitlabhq/gitlabhq,v6.7.0.rc1,2014-03-20,FEATURE,1364.0,75234.0,7.0,381.0,14.0,70.0,1.0,,,,,
85,gitlabhq/gitlabhq,v6.7.0,2014-03-21,,,,,,,,,,,,,
86,gitlabhq/gitlabhq,v6.7.1,2014-03-21,,,,,,,,,,,,,
87,gitlabhq/gitlabhq,v6.7.2,2014-03-21,,,,,,,,,,,,,
88,gitlabhq/gitlabhq,v6.7.3,2014-04-03,,,,,,,,,,,,,
89,gitlabhq/gitlabhq,v6.7.4,2014-04-10,,,,,,,,,,,,,
90,gitlabhq/gitlabhq,v6.7.5,2014-04-14,,,,,,,,,,,,,
91,gitlabhq/gitlabhq,v6.8.0.rc1,2014-04-17,FEATURE,1412.0,76652.0,9.0,514.0,3.0,27.0,3.0,1.0,515.0,1.0,22.0,1.0
92,gitlabhq/gitlabhq,v6.8.0,2014-04-22,,,,,,,,,,,,,
93,gitlabhq/gitlabhq,v6.8.1,2014-04-23,,,,,,,,,,,,,
94,gitlabhq/gitlabhq,v6.8.2,2014-05-12,,,,,,,,,,,,,
95,gitlabhq/gitlabhq,v6.9.0.rc1,2014-05-19,FEATURE,1437.0,78536.0,3.0,331.0,2.0,4.0,2.0,,,,,
96,gitlabhq/gitlabhq,v6.9.0,2014-05-22,,,,,,,,,,,,,
97,gitlabhq/gitlabhq,v6.9.1,2014-05-27,,,,,,,,,,,,,
98,gitlabhq/gitlabhq,v6.9.2,2014-05-30,,,,,,,,,,,,,
99,gitlabhq/gitlabhq,v7.0.0.rc1,2014-06-17,FEATURE,1443.0,79844.0,2.0,524.0,31.0,382.0,1.0,,,,,
100,gitlabhq/gitlabhq,v7.0.0,2014-06-20,,,,,,,,,,,,,
101,gitlabhq/gitlabhq,v7.1.0.rc1,2014-07-17,,,,,,,,,,,,,
102,gitlabhq/gitlabhq,v7.1.0,2014-07-22,,,,,,,,,,,,,
103,gitlabhq/gitlabhq,v7.1.1,2014-07-29,,,,,,,,,,,,,
104,gitlabhq/gitlabhq,v7.2.0.rc1,2014-08-18,FEATURE,1519.0,83543.0,2.0,306.0,3.0,32.0,2.0,,,,,
105,gitlabhq/gitlabhq,v7.2.0.rc2,2014-08-19,FEATURE,1521.0,83800.0,1.0,21.0,,0.0,1.0,,,,,
106,gitlabhq/gitlabhq,v7.2.0.rc4,2014-08-20,,,,,,,,,,,,,
107,gitlabhq/gitlabhq,v7.2.0.rc3,2014-08-20,,,,,,,,,,,,,
108,gitlabhq/gitlabhq,v7.2.0.rc5,2014-08-20,,,,,,,,,,,,,
109,gitlabhq/gitlabhq,v7.2.0,2014-08-22,,,,,,,,,,,,,
110,gitlabhq/gitlabhq,v7.2.1,2014-08-28,,,,,,,,,,,,,
111,gitlabhq/gitlabhq,v7.3.0.rc1,2014-09-17,FEATURE,1569.0,87492.0,3.0,455.0,,0.0,1.0,,,,,
112,gitlabhq/gitlabhq,v7.2.2,2014-09-19,,,,,,,,,,,,,
113,gitlabhq/gitlabhq,v7.3.0,2014-09-22,FEATURE,1572.0,87413.0,3.0,509.0,,0.0,1.0,,,,,
114,gitlabhq/gitlabhq,v7.3.1,2014-09-24,,,,,,,,,,,,,
115,gitlabhq/gitlabhq,v7.3.2,2014-10-01,,,,,,,,,,,,,
116,gitlabhq/gitlabhq,v7.4.0.rc1,2014-10-17,FEATURE,1633.0,91793.0,10.0,588.0,14.0,163.0,3.0,1.0,588.0,,0.0,1.0
117,gitlabhq/gitlabhq,v7.4.0,2014-10-22,,,,,,,,,,,,,
118,gitlabhq/gitlabhq,v7.4.1,2014-10-24,,,,,,,,,,,,,
119,gitlabhq/gitlabhq,v7.4.2,2014-10-24,,,,,,,,,,,,,
120,gitlabhq/gitlabhq,v7.4.3,2014-10-30,,,,,,,,,,,,,
121,gitlabhq/gitlabhq,v7.5.0.rc1,2014-11-17,FEATURE,1667.0,94069.0,6.0,409.0,3.0,56.0,2.0,,,,,
122,gitlabhq/gitlabhq,v7.4.4,2014-11-19,,,,,,,,,,,,,
123,gitlabhq/gitlabhq,v7.5.0,2014-11-21,FEATURE,1668.0,94256.0,6.0,408.0,3.0,56.0,2.0,,,,,
124,gitlabhq/gitlabhq,v7.5.1,2014-11-21,,,,,,,,,,,,,
125,gitlabhq/gitlabhq,v7.5.2,2014-12-02,,,,,,,,,,,,,
126,gitlabhq/gitlabhq,v7.5.3,2014-12-05,,,,,,,,,,,,,
127,gitlabhq/gitlabhq,v7.6.0.rc1,2014-12-18,FEATURE,1700.0,95955.0,1.0,317.0,9.0,101.0,1.0,,,,,
128,gitlabhq/gitlabhq,v7.6.0,2014-12-22,,,,,,,,,,,,,
129,gitlabhq/gitlabhq,v7.6.1,2014-12-23,,,,,,,,,,,,,
130,gitlabhq/gitlabhq,v7.6.2,2014-12-30,,,,,,,,,,,,,
131,gitlabhq/gitlabhq,v7.2.3,2015-01-09,,,,,,,,,,,,,
132,gitlabhq/gitlabhq,v7.3.3,2015-01-09,FEATURE,1572.0,87511.0,3.0,526.0,,0.0,1.0,,,,,
133,gitlabhq/gitlabhq,v7.4.5,2015-01-09,FEATURE,1638.0,92193.0,10.0,653.0,14.0,163.0,3.0,1.0,653.0,,0.0,1.0
134,gitlabhq/gitlabhq,v7.7.0.rc1,2015-01-14,FEATURE,1771.0,98981.0,14.0,1102.0,34.0,477.0,2.0,,,,,
135,gitlabhq/gitlabhq,v7.7.0.rc2,2015-01-15,,,,,,,,,,,,,
136,gitlabhq/gitlabhq,v7.7.0.rc3,2015-01-16,,,,,,,,,,,,,
137,gitlabhq/gitlabhq,v7.7.0.rc4,2015-01-17,,,,,,,,,,,,,
138,gitlabhq/gitlabhq,v7.7.0,2015-01-21,,,,,,,,,,,,,
139,gitlabhq/gitlabhq,v7.7.1,2015-01-22,,,,,,,,,,,,,
140,gitlabhq/gitlabhq,v7.6.1-rtl,2015-01-27,,,,,,,,,,,,,
141,gitlabhq/gitlabhq,v7.7.2,2015-01-29,,,,,,,,,,,,,
