,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,fluent/fluentd,v0.9.1,2011-06-26,,,,,,,,,,,,,
1,fluent/fluentd,v0.9.2,2011-07-03,,,,,,,,,,,,,
2,fluent/fluentd,v0.9.3,2011-07-05,,,,,,,,,,,,,
3,fluent/fluentd,v0.9.4,2011-07-22,,,,,,,,,,,,,
4,fluent/fluentd,v0.9.5,2011-07-23,,,,,,,,,,,,,
5,fluent/fluentd,v0.9.7,2011-08-06,,,,,,,,,,,,,
6,fluent/fluentd,v0.9.6,2011-08-06,,,,,,,,,,,,,
7,fluent/fluentd,v0.9.8,2011-08-16,,,,,,,,,,,,,
8,fluent/fluentd,v0.9.9,2011-09-06,,,,,,,,,,,,,
9,fluent/fluentd,v0.9.10,2011-09-07,,,,,,,,,,,,,
10,fluent/fluentd,v0.9.11,2011-09-19,,,,,,,,,,,,,
11,fluent/fluentd,v0.9.12,2011-09-20,,,,,,,,,,,,,
12,fluent/fluentd,v0.9.13,2011-09-21,,,,,,,,,,,,,
13,fluent/fluentd,v0.9.14,2011-09-21,,,,,,,,,,,,,
14,fluent/fluentd,v0.9.15,2011-09-30,,,,,,,,,,,,,
15,fluent/fluentd,v0.9.16,2011-10-02,,,,,,,,,,,,,
16,fluent/fluentd,v0.9.17,2011-10-03,,,,,,,,,,,,,
17,fluent/fluentd,v0.9.18,2011-10-04,,,,,,,,,,,,,
18,fluent/fluentd,v0.9.19,2011-10-07,,,,,,,,,,,,,
19,fluent/fluentd,v0.9.20,2011-10-10,,,,,,,,,,,,,
20,fluent/fluentd,v0.9.21,2011-10-11,,,,,,,,,,,,,
21,fluent/fluentd,v0.10.1,2011-10-16,,,,,,,,,,,,,
22,fluent/fluentd,v0.10.0,2011-10-16,,,,,,,,,,,,,
23,fluent/fluentd,v0.10.2,2011-10-18,,,,,,,,,,,,,
24,fluent/fluentd,v0.10.3,2011-10-21,,,,,,,,,,,,,
25,fluent/fluentd,v0.10.4,2011-11-07,,,,,,,,,,,,,
26,fluent/fluentd,v0.10.5,2011-11-09,,,,,,,,,,,,,
27,fluent/fluentd,v0.10.6,2011-11-11,,,,,,,,,,,,,
28,fluent/fluentd,v0.10.7,2011-11-16,,,,,,,,,,,,,
29,fluent/fluentd,v0.10.8,2011-12-03,,,,,,,,,,,,,
30,fluent/fluentd,v0.10.9,2012-01-19,,,,,,,,,,,,,
31,fluent/fluentd,v0.10.10,2012-02-09,SUPPORT,71.0,9261.0,1.0,18.0,,0.0,1.0,,,,,
32,fluent/fluentd,v0.10.11,2012-02-10,,,,,,,,,,,,,
33,fluent/fluentd,v0.10.12,2012-02-13,,,,,,,,,,,,,
34,fluent/fluentd,v0.10.13,2012-02-21,,,,,,,,,,,,,
35,fluent/fluentd,v0.10.14,2012-03-05,,,,,,,,,,,,,
36,fluent/fluentd,v0.10.15,2012-03-09,,,,,,,,,,,,,
37,fluent/fluentd,v0.10.16,2012-03-26,,,,,,,,,,,,,
38,fluent/fluentd,v0.10.17,2012-04-02,SUPPORT,76.0,10098.0,1.0,6.0,3.0,185.0,1.0,,,,,
39,fluent/fluentd,v0.10.18,2012-04-13,,,,,,,,,,,,,
40,fluent/fluentd,v0.10.19,2012-04-17,,,,,,,,,,,,,
41,fluent/fluentd,v0.10.20,2012-04-27,,,,,,,,,,,,,
42,fluent/fluentd,v0.10.21,2012-05-01,,,,,,,,,,,,,
43,fluent/fluentd,v0.10.22,2012-05-02,,,,,,,,,,,,,
44,fluent/fluentd,v0.10.23,2012-06-25,,,,,,,,,,,,,
45,fluent/fluentd,v0.10.24,2012-06-28,SUPPORT,77.0,10580.0,1.0,2.0,1.0,60.0,1.0,,,,,
46,fluent/fluentd,v0.10.25,2012-07-23,,,,,,,,,,,,,
47,fluent/fluentd,v0.10.26,2012-09-26,SUPPORT,81.0,11108.0,3.0,31.0,5.0,79.0,1.0,,,,,
48,fluent/fluentd,v0.10.27,2012-10-11,,,,,,,,,,,,,
49,fluent/fluentd,v0.10.28,2012-10-31,,,,,,,,,,,,,
50,fluent/fluentd,v0.10.30,2012-12-06,,,,,,,,,,,,,
51,fluent/fluentd,v0.10.31,2013-01-31,SUPPORT,82.0,11148.0,1.0,20.0,1.0,15.0,1.0,,,,,
52,fluent/fluentd,v0.10.32,2013-03-04,SUPPORT,85.0,11449.0,1.0,17.0,,0.0,1.0,,,,,
53,fluent/fluentd,v0.10.34,2013-06-03,,,,,,,,,,,,,
54,fluent/fluentd,v0.10.35,2013-06-12,,,,,,,,,,,,,
55,fluent/fluentd,v0.10.36,2013-07-31,,,,,,,,,,,,,
56,fluent/fluentd,v0.10.37,2013-08-29,,,,,,,,,,,,,
57,fluent/fluentd,v0.10.38,2013-08-30,,,,,,,,,,,,,
58,fluent/fluentd,v0.10.39,2013-09-18,,,,,,,,,,,,,
59,fluent/fluentd,v0.10.40,2013-11-08,,,,,,,,,,,,,
60,fluent/fluentd,v0.10.41,2013-12-05,,,,,,,,,,,,,
