,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,d3/d3,v1.0.0,2011-02-17,,,,,,,,,,,,,,,,,,
1,d3/d3,v1.0.1,2011-02-18,,,,,,,,,,,,,,,,,,
2,d3/d3,v1.0.2,2011-02-19,,,,,,,,,,,,,,,,,,
3,d3/d3,v1.0.3,2011-02-23,,,,,,,,,,,,,,,,,,
4,d3/d3,v1.1.0,2011-02-23,,,,,,,,,,,,,,,,,,
5,d3/d3,v1.2.0,2011-02-24,,,,,,,,,,,,,,,,,,
6,d3/d3,v1.2.1,2011-02-24,,,,,,,,,,,,,,,,,,
7,d3/d3,v1.3.0,2011-02-27,,,,,,,,,,,,,,,,,,
8,d3/d3,v1.4.0,2011-03-01,,,,,,,,,,,,,,,,,,
9,d3/d3,v1.5.0,2011-03-03,,,,,,,,,,,,,,,,,,
10,d3/d3,v1.5.1,2011-03-04,,,,,,,,,,,,,,,,,,
11,d3/d3,v1.5.2,2011-03-04,,,,,,,,,,,,,,,,,,
12,d3/d3,v1.6.0,2011-03-08,,,,,,,,,,,,,,,,,,
13,d3/d3,v1.5.3,2011-03-08,,,,1.0,3.0,3.0,91.0,1.0,,,,,,,,,,
14,d3/d3,v1.6.1,2011-03-12,TESTING,262.0,83680.0,1.0,7.0,5.0,57.0,1.0,,,,,,1.0,2.0,3.0,15.0,-1.0
15,d3/d3,v1.7.0,2011-03-12,,,,2.0,11.0,6.0,128.0,2.0,,,,,,,,,,
16,d3/d3,v1.8.0,2011-03-14,,,,,,,,,,,,,,,,,,
17,d3/d3,v1.8.1,2011-03-15,,,,,,,,,,,,,,,,,,
18,d3/d3,v1.8.2,2011-03-17,,,,,,,,,,,,,,,,,,
19,d3/d3,v1.8.3,2011-03-17,,,,,,,,,,,,,,,,,,
20,d3/d3,v1.8.4,2011-03-30,,,,2.0,8.0,5.0,379.0,2.0,,,,,,,,,,
