,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,kennethreitz/requests,v0.2.1,2011-02-14,DOCS,19,1967,,,,,,,,,,,2.0,24.0,2.0,185.0,-1.0
1,kennethreitz/requests,v0.2.2,2011-02-14,DOCS,20,2028,,,,,,,,,,,1.0,19.0,2.0,22.0,-1.0
2,kennethreitz/requests,v0.2.3,2011-02-15,DOCS,20,2074,,,,,,,,,,,,,,,
3,kennethreitz/requests,v0.2.4,2011-02-19,DOCS,21,2085,,,,,,,,,,,1.0,29.0,1.0,9.0,-1.0
4,kennethreitz/requests,v0.3.0,2011-02-25,DOCS,23,2242,,,,,,,,,,,1.0,36.0,1.0,7.0,-1.0
5,kennethreitz/requests,v0.3.1,2011-04-01,DOCS,23,2296,,,,,,,,,,,,,,,
6,kennethreitz/requests,v0.3.2,2011-04-15,DOCS,23,2336,,,,,,,,,,,,,,,
7,kennethreitz/requests,v0.3.3,2011-05-12,DOCS,24,2757,,,,,,,,,,,,,,,
8,kennethreitz/requests,v0.4.0,2011-05-14,DOCS,28,2632,,,,,,,,,,,,,,,
9,kennethreitz/requests,v0.3.4,2011-05-14,DOCS,28,2881,,,,,,,,,,,,,,,
10,kennethreitz/requests,v0.4.1,2011-05-22,DOCS,50,4204,,,,,,,,,,,4.0,67.0,14.0,175.0,-1.0
11,kennethreitz/requests,v0.5.0,2011-06-21,DOCS,50,4452,,,,,,,,,,,4.0,51.0,4.0,30.0,-1.0
12,kennethreitz/requests,v0.5.1,2011-07-23,DOCS,53,6856,,,,,,,,,,,1.0,39.0,2.0,16.0,-1.0
13,kennethreitz/requests,v0.6.0,2011-08-17,DOCS,67,7673,,,,,,,,,,,7.0,98.0,11.0,335.0,-1.0
14,kennethreitz/requests,v0.6.1,2011-08-20,DOCS,68,7739,,,,,,,,,,,1.0,25.0,1.0,2.0,-1.0
15,kennethreitz/requests,v0.6.2,2011-10-09,DOCS,68,7765,,,,,,,,,,,,,,,
16,kennethreitz/requests,v0.6.3,2011-10-13,DOCS,69,7946,,,,,,,,,,,2.0,18.0,9.0,213.0,-1.0
17,kennethreitz/requests,v0.6.4,2011-10-13,DOCS,59,8072,,,,,,,,,,,4.0,67.0,10.0,245.0,-1.0
18,kennethreitz/requests,v0.6.5,2011-10-19,DOCS,61,8173,,,,,,,,,,,1.0,28.0,2.0,63.0,-1.0
19,kennethreitz/requests,v0.6.6,2011-10-19,DOCS,61,8211,,,,,,,,,,,,,,,
20,kennethreitz/requests,v0.7.0,2011-10-22,DOCS,60,8290,,,,,,,,,,,3.0,56.0,3.0,12.0,-1.0
21,kennethreitz/requests,v0.7.1,2011-10-23,DOCS,61,8339,,,,,,,,,,,1.0,24.0,1.0,29.0,-1.0
22,kennethreitz/requests,v0.7.3,2011-10-23,DOCS,61,8341,,,,,,,,,,,,,,,
23,kennethreitz/requests,v0.7.2,2011-10-23,DOCS,61,8345,,,,,,,,,,,,,,,
24,kennethreitz/requests,v0.7.4,2011-10-26,DOCS,61,8351,,,,,,,,,,,,,,,
25,kennethreitz/requests,v0.7.5,2011-11-04,DOCS,61,8425,,,,,,,,,,,3.0,22.0,2.0,16.0,-1.0
26,kennethreitz/requests,v0.7.6,2011-11-07,DOCS,61,8435,,,,,,,,,,,,,,,
27,kennethreitz/requests,v0.8.0,2011-11-13,DOCS,67,9586,2.0,278.0,2.0,9.0,1.0,1.0,278.0,1.0,69.0,1.0,6.0,119.0,6.0,224.0,-1.0
28,kennethreitz/requests,v0.8.1,2011-11-15,DOCS,67,9621,,,,,,,,,,,,,,,
29,kennethreitz/requests,v0.8.2,2011-11-19,DOCS,70,10864,,,,,,,,,,,2.0,29.0,3.0,29.0,-1.0
30,kennethreitz/requests,v0.8.3,2011-11-27,DOCS,70,10935,,,,,,,,,,,,,,,
31,kennethreitz/requests,v0.8.4,2011-12-11,DOCS,70,10976,,,,,,,,,,,1.0,22.0,1.0,4.0,-1.0
32,kennethreitz/requests,v0.8.5,2011-12-14,DOCS,70,11037,,,,,,,,,,,,,,,
33,kennethreitz/requests,v0.8.6,2011-12-18,DOCS,70,11093,,,,,,,,,,,,,,,
34,kennethreitz/requests,v0.8.7,2011-12-24,DOCS,70,11188,,,,,,,,,,,2.0,15.0,2.0,23.0,-1.0
35,kennethreitz/requests,v0.8.8,2011-12-28,DOCS,73,11352,,,,,,,,,,,1.0,28.0,6.0,34.0,-1.0
36,kennethreitz/requests,v0.8.9,2011-12-28,DOCS,73,11360,,,,,,,,,,,,,,,
37,kennethreitz/requests,v0.9.0,2011-12-28,DOCS,73,11367,,,,,,,,,,,,,,,
38,kennethreitz/requests,v0.9.1,2012-01-06,DOCS,73,11373,,,,,,,,,,,1.0,12.0,1.0,4.0,-1.0
39,kennethreitz/requests,v0.9.3,2012-01-18,DOCS,73,11469,,,,,,,,,,,,,,,
40,kennethreitz/requests,v0.9.2,2012-01-18,DOCS,73,11484,,,,,,,,,,,3.0,39.0,3.0,7.0,-1.0
41,kennethreitz/requests,v0.10.0,2012-01-21,DOCS,73,11610,,,,,,,,,,,2.0,35.0,3.0,9.0,-1.0
42,kennethreitz/requests,v0.10.1,2012-01-23,DOCS,76,12233,,,,,,,,,,,,,,,
43,kennethreitz/requests,v0.10.2,2012-02-15,DOCS,77,12434,,,,,,,,,,,1.0,41.0,1.0,1.0,-1.0
44,kennethreitz/requests,v0.10.3,2012-02-20,DOCS,77,12424,,,,,,,,,,,,,,,
45,kennethreitz/requests,v0.10.4,2012-02-20,DOCS,77,12468,,,,,,,,,,,,,,,
46,kennethreitz/requests,v0.10.5,2012-02-25,DOCS,78,12526,,,,,,,,,,,1.0,13.0,1.0,7.0,-1.0
47,kennethreitz/requests,v0.10.6,2012-02-25,DOCS,78,12575,,,,,,,,,,,,,,,
48,kennethreitz/requests,v0.10.7,2012-03-07,DOCS,80,12607,,,,,,,,,,,,,,,
49,kennethreitz/requests,v0.10.8,2012-03-09,DOCS,79,12721,,,,,,,,,,,,,,,
50,kennethreitz/requests,v0.11.1,2012-03-30,DOCS,81,12825,,,,,,1.0,56.0,1.0,4.0,1.0,,,,,
