,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jgm/pandoc,1.0.0.1,2008-09-14,UPGRADE,186,39170,,,,,,,,,,,,,,,
1,jgm/pandoc,1.2.1,2009-07-18,UPGRADE,205,40915,,,,,,,,,,,4.0,146.0,4.0,35.0,-1.0
2,jgm/pandoc,1.3,2009-12-11,UPGRADE,207,42012,,,,,,,,,,,2.0,61.0,2.0,52.0,-1.0
3,jgm/pandoc,1.5,2010-03-20,UPGRADE,181,43133,,,,,,,,,,,8.0,256.0,11.0,488.0,-1.0
4,jgm/pandoc,1.5.0.1,2010-03-21,UPGRADE,181,43142,,,,,,,,,,,,,,,
5,jgm/pandoc,1.5.1,2010-03-23,UPGRADE,181,43195,,,,,,,,,,,,,,,
6,jgm/pandoc,1.5.1.1,2010-03-29,UPGRADE,181,43205,,,,,,,,,,,,,,,
7,jgm/pandoc,1.6,2010-07-24,UPGRADE,191,43593,,,,,,,,,,,1.0,102.0,1.0,1.0,-1.0
8,jgm/pandoc,1.8,2011-01-30,UPGRADE,229,50592,,,,,,,,,,,,,,,
9,jgm/pandoc,1.8.0.1,2011-01-31,UPGRADE,229,50609,,,,,,,,,,,,,,,
10,jgm/pandoc,1.8.0.3,2011-02-05,UPGRADE,229,49943,,,,,,,,,,,,,,,
11,jgm/pandoc,1.8.1,2011-02-13,UPGRADE,229,49993,,,,,,,,,,,,,,,
12,jgm/pandoc,1.8.1.1,2011-02-13,UPGRADE,229,50000,,,,,,,,,,,,,,,
13,jgm/pandoc,1.8.1.2,2011-07-16,UPGRADE,230,50354,,,,,,,,,,,,,,,
14,jgm/pandoc,1.8.2,2011-07-30,UPGRADE,217,50960,,,,,,,,,,,1.0,77.0,1.0,23.0,-1.0
15,jgm/pandoc,1.8.2.1,2011-08-01,UPGRADE,217,50971,,,,,,,,,,,,,,,
16,jgm/pandoc,1.9,2012-02-05,UPGRADE,226,55002,,,,,,,,,,,4.0,367.0,5.0,32.0,-1.0
17,jgm/pandoc,1.9.0.2,2012-02-05,UPGRADE,226,55007,,,,,,,,,,,,,,,
18,jgm/pandoc,1.9.0.3,2012-02-06,UPGRADE,226,55067,,,,,,,,,,,,,,,
19,jgm/pandoc,1.9.0.5,2012-02-06,UPGRADE,226,55095,,,,,,,,,,,,,,,
20,jgm/pandoc,1.9.1,2012-02-09,UPGRADE,226,55160,,,,,,,,,,,,,,,
21,jgm/pandoc,1.9.1.1,2012-02-11,UPGRADE,225,55232,,,,,,,,,,,,,,,
22,jgm/pandoc,1.9.1.2,2012-03-09,UPGRADE,228,55417,,,,,,,,,,,3.0,32.0,5.0,23.0,-1.0
23,jgm/pandoc,1.9.3,2012-05-12,UPGRADE,231,58801,,,,,,,,,,,,,,,
24,jgm/pandoc,1.9.4,2012-06-03,UPGRADE,234,59336,1.0,35.0,1.0,2.0,1.0,,,,,,,,,,
25,jgm/pandoc,1.9.4.1,2012-06-08,UPGRADE,234,59384,,,,,,,,,,,,,,,
26,jgm/pandoc,1.9.4.2,2012-06-28,UPGRADE,234,59457,,,,,,,,,,,,,,,
27,jgm/pandoc,1.9.4.4,2012-10-20,UPGRADE,234,59422,,,,,,,,,,,,,,,
28,jgm/pandoc,1.9.4.3,2012-10-20,UPGRADE,234,59498,,,,,,,,,,,,,,,
29,jgm/pandoc,1.9.4.5,2012-10-21,UPGRADE,234,59427,,,,,,,,,,,,,,,
