,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,AutoMapper/AutoMapper,v1.0,2010-05-05,,,,,,,,,,,,,
1,AutoMapper/AutoMapper,v2.0.0,2011-09-22,DOCS,440.0,77738.0,1.0,104.0,1.0,4.0,1.0,,,,,
2,AutoMapper/AutoMapper,v2.1.267,2012-04-15,,,,,,,,,,,,,
3,AutoMapper/AutoMapper,v2.2.0,2012-09-22,,,,,,,,,,,,,
4,AutoMapper/AutoMapper,v2.2.1,2013-02-18,,,,,,,,,,,,,
5,AutoMapper/AutoMapper,v3.0.0,2013-08-25,,,,,,,,,,,,,
6,AutoMapper/AutoMapper,v3.1.0,2013-11-17,DOCS,724.0,146348.0,1.0,71.0,1.0,3.0,1.0,,,,,
7,AutoMapper/AutoMapper,v3.1.1,2013-12-30,,,,,,,,,,,,,
8,AutoMapper/AutoMapper,v3.2.0,2014-04-14,,,,,,,,,,,,,
9,AutoMapper/AutoMapper,v3.2.1,2014-04-25,,,,,,,,,,,,,
10,AutoMapper/AutoMapper,v3.3.0,2014-11-28,,,,,,,,,,,,,
11,AutoMapper/AutoMapper,v3.3.1,2015-01-29,,,,,,,,,,,,,
12,AutoMapper/AutoMapper,3.3.1,2015-01-29,,,,,,,,,,,,,
13,AutoMapper/AutoMapper,v4.0.0-alpha1,2015-07-07,,,,,,,,,,,,,
14,AutoMapper/AutoMapper,v4.0.0,2015-08-05,DOCS,868.0,155936.0,1.0,113.0,2.0,11.0,1.0,,,,,
15,AutoMapper/AutoMapper,v4.0.4,2015-08-05,,,,,,,,,,,,,
16,AutoMapper/AutoMapper,v4.0.2,2015-08-05,,,,,,,,,,,,,
17,AutoMapper/AutoMapper,v4.0.1,2015-08-05,,,,,,,,,,,,,
18,AutoMapper/AutoMapper,v4.0.3,2015-08-05,,,,,,,,,,,,,
19,AutoMapper/AutoMapper,v4.1.0,2015-10-21,,,,,,,,,,,,,
20,AutoMapper/AutoMapper,v4.1.1,2015-10-26,,,,,,,,,,,,,
21,AutoMapper/AutoMapper,v4.2.0,2016-01-27,,,,,,,,,,,,,
22,AutoMapper/AutoMapper,v4.2.1,2016-02-24,,,,,,,,,,,,,
23,AutoMapper/AutoMapper,v5.0.0-beta-1,2016-05-16,,,,,,,,,,,,,
24,AutoMapper/AutoMapper,v5.0.0,2016-06-27,,,,,,,,,,,,,
25,AutoMapper/AutoMapper,v5.0.2,2016-07-07,,,,,,,,,,,,,
26,AutoMapper/AutoMapper,v5.0.1,2016-07-07,,,,,,,,,,,,,
27,AutoMapper/AutoMapper,v5.1.0,2016-08-11,,,,,,,,,,,,,
28,AutoMapper/AutoMapper,v5.1.1,2016-08-12,,,,,,,,,,,,,
29,AutoMapper/AutoMapper,v5.2.0,2016-11-23,,,,,,,,,,,,,
30,AutoMapper/AutoMapper,v1.1.2,2017-03-07,,,,,,,,,,,,,
31,AutoMapper/AutoMapper,v1.1.1,2017-03-07,,,,,,,,,,,,,
32,AutoMapper/AutoMapper,v6.0.0,2017-03-16,DOCS,1045.0,164538.0,5.0,2028.0,5.0,26.0,1.0,60.0,10211.0,1.0,8.0,2.0
33,AutoMapper/AutoMapper,v6.0.1,2017-03-17,,,,,,,,,,,,,
34,AutoMapper/AutoMapper,v6.0.2,2017-03-22,,,,,,,,,,,,,
35,AutoMapper/AutoMapper,v6.1.0,2017-06-13,,,,,,,,,,,,,
36,AutoMapper/AutoMapper,v6.1.1,2017-06-26,,,,,,,,,,,,,
37,AutoMapper/AutoMapper,v6.2.0,2017-11-09,DOCS,660.0,62807.0,2.0,259.0,5.0,102.0,1.0,,,,,
38,AutoMapper/AutoMapper,v6.2.1,2017-11-16,,,,,,,,,,,,,
39,AutoMapper/AutoMapper,v6.2.2,2017-12-06,,,,,,,,,,,,,
40,AutoMapper/AutoMapper,v7.0.0-alpha-0001,2018-04-09,DOCS,660.0,64134.0,4.0,96.0,4.0,78.0,1.0,118.0,1894.0,,0.0,1.0
41,AutoMapper/AutoMapper,v7.0.0,2018-06-05,,,,,,,,,,,,,
42,AutoMapper/AutoMapper,v7.0.1,2018-06-18,DOCS,591.0,56716.0,1.0,41.0,1.0,8.0,1.0,,,,,
43,AutoMapper/AutoMapper,v8.0.0,2018-11-17,DOCS,598.0,58970.0,7.0,142.0,16.0,303.0,1.0,59.0,2984.0,59.0,472.0,1.0
44,AutoMapper/AutoMapper,v8.1.0,2019-04-25,DOCS,630.0,63557.0,7.0,245.0,15.0,206.0,1.0,119.0,3667.0,1.0,6.0,2.0
45,AutoMapper/AutoMapper,v8.1.1,2019-06-03,,,,,,,,,,,,,
46,AutoMapper/AutoMapper,v9.0.0,2019-08-09,,,,,,,,,,,,,
