,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,AutoMapper/AutoMapper,v1.0,2010-05-05,,,,,,,,,,,,,,,,,,
1,AutoMapper/AutoMapper,v2.0.0,2011-09-22,,,,1.0,104.0,2.0,57.0,1.0,,,,,,,,,,
2,AutoMapper/AutoMapper,v2.1.267,2012-04-15,,,,,,,,,,,,,,,,,,
3,AutoMapper/AutoMapper,v2.2.0,2012-09-22,,,,,,,,,,,,,,,,,,
4,AutoMapper/AutoMapper,v2.2.1,2013-02-18,,,,,,,,,,,,,,,,,,
5,AutoMapper/AutoMapper,v3.0.0,2013-08-25,REFACTOR,736.0,148711.0,,,,,,,,,,,2.0,45.0,1.0,151.0,-1.0
6,AutoMapper/AutoMapper,v3.1.0,2013-11-17,,,,1.0,71.0,6.0,102.0,1.0,,,,,,,,,,
7,AutoMapper/AutoMapper,v3.1.1,2013-12-30,,,,,,,,,,,,,,,,,,
8,AutoMapper/AutoMapper,v3.2.0,2014-04-14,,,,,,,,,,,,,,,,,,
9,AutoMapper/AutoMapper,v3.2.1,2014-04-25,,,,,,,,,,,,,,,,,,
10,AutoMapper/AutoMapper,v3.3.0,2014-11-28,,,,,,,,,,,,,,,,,,
11,AutoMapper/AutoMapper,v3.3.1,2015-01-29,,,,,,,,,,,,,,,,,,
12,AutoMapper/AutoMapper,3.3.1,2015-01-29,,,,,,,,,,,,,,,,,,
13,AutoMapper/AutoMapper,v4.0.0-alpha1,2015-07-07,,,,,,,,,,,,,,,,,,
14,AutoMapper/AutoMapper,v4.0.0,2015-08-05,,,,2.0,112.0,12.0,640.0,2.0,,,,,,,,,,
15,AutoMapper/AutoMapper,v4.0.4,2015-08-05,,,,,,,,,,,,,,,,,,
16,AutoMapper/AutoMapper,v4.0.2,2015-08-05,,,,,,,,,,,,,,,,,,
17,AutoMapper/AutoMapper,v4.0.1,2015-08-05,,,,,,,,,,,,,,,,,,
18,AutoMapper/AutoMapper,v4.0.3,2015-08-05,,,,,,,,,,,,,,,,,,
19,AutoMapper/AutoMapper,v4.1.0,2015-10-21,REFACTOR,898.0,159363.0,2.0,124.0,2.0,13.0,2.0,1.0,124.0,6.0,245.0,1.0,1.0,14.0,6.0,138.0,-1.0
20,AutoMapper/AutoMapper,v4.1.1,2015-10-26,,,,,,,,,,,,,,,,,,
21,AutoMapper/AutoMapper,v4.2.0,2016-01-27,,,,1.0,118.0,,0.0,1.0,,,,,,,,,,
22,AutoMapper/AutoMapper,v4.2.1,2016-02-24,,,,,,,,,,,,,,,,,,
23,AutoMapper/AutoMapper,v5.0.0-beta-1,2016-05-16,REFACTOR,866.0,152399.0,3.0,349.0,,0.0,3.0,,,,,,1.0,103.0,,0.0,-1.0
24,AutoMapper/AutoMapper,v5.0.0,2016-06-27,REFACTOR,866.0,153097.0,,,,,,,,,,,2.0,79.0,7.0,255.0,-1.0
25,AutoMapper/AutoMapper,v5.0.2,2016-07-07,,,,,,,,,,,,,,,,,,
26,AutoMapper/AutoMapper,v5.0.1,2016-07-07,REFACTOR,864.0,154074.0,,,,,,,,,,,1.0,34.0,1.0,45.0,-1.0
27,AutoMapper/AutoMapper,v5.1.0,2016-08-11,,,,,,,,,2.0,1859.0,5.0,598.0,2.0,,,,,
28,AutoMapper/AutoMapper,v5.1.1,2016-08-12,,,,,,,,,,,,,,,,,,
29,AutoMapper/AutoMapper,v5.2.0,2016-11-23,,,,,,,,,,,,,,,,,,
30,AutoMapper/AutoMapper,v1.1.2,2017-03-07,,,,,,,,,,,,,,,,,,
31,AutoMapper/AutoMapper,v1.1.1,2017-03-07,,,,,,,,,,,,,,,,,,
32,AutoMapper/AutoMapper,v6.0.0,2017-03-16,REFACTOR,1045.0,164538.0,10.0,2015.0,22.0,812.0,10.0,3.0,10256.0,11.0,843.0,3.0,8.0,588.0,17.0,621.0,-1.0
33,AutoMapper/AutoMapper,v6.0.1,2017-03-17,,,,,,,,,,,,,,,,,,
34,AutoMapper/AutoMapper,v6.0.2,2017-03-22,,,,,,,,,,,,,,,,,,
35,AutoMapper/AutoMapper,v6.1.0,2017-06-13,REFACTOR,663.0,60306.0,,,,,,,,,,,1.0,69.0,2.0,270.0,-1.0
36,AutoMapper/AutoMapper,v6.1.1,2017-06-26,,,,,,,,,,,,,,,,,,
37,AutoMapper/AutoMapper,v6.2.0,2017-11-09,REFACTOR,660.0,62807.0,,,,,,118.0,3855.0,,0.0,118.0,2.0,160.0,10.0,72.0,-1.0
38,AutoMapper/AutoMapper,v6.2.1,2017-11-16,,,,,,,,,,,,,,,,,,
