,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,josdejong/mathjs,v0.0.2,2013-02-16,OTHER,28,3160,2.0,1.0,4.0,6.0,2.0,,,,,,6.0,1.0,47.0,3298.0,-1.0
1,josdejong/mathjs,v0.1.0,2013-02-18,OTHER,60,5980,16.0,3.0,98.0,2647.0,16.0,,,,,,,,,,
2,josdejong/mathjs,v0.2.0,2013-02-25,OTHER,88,12985,14.0,6.0,152.0,8257.0,14.0,,,,,,,,,,
3,josdejong/mathjs,v0.3.0,2013-03-09,OTHER,92,14785,6.0,3.0,27.0,2101.0,6.0,,,,,,,,,,
4,josdejong/mathjs,v0.4.0,2013-03-16,OTHER,102,16845,15.0,9.0,52.0,2484.0,15.0,,,,,,,,,,
5,josdejong/mathjs,v0.5.0,2013-04-06,OTHER,130,23427,13.0,17.0,149.0,4622.0,13.0,,,,,,28.0,10.0,183.0,29050.0,-1.0
6,josdejong/mathjs,v0.6.0,2013-04-13,OTHER,205,22374,,,,,,,,,,,12.0,4.0,62.0,2159.0,-1.0
7,josdejong/mathjs,v0.7.0,2013-04-20,OTHER,214,24164,2.0,17.0,12.0,10349.0,2.0,,,,,,12.0,9.0,130.0,1691.0,-1.0
8,josdejong/mathjs,v0.7.1,2013-04-27,OTHER,216,24719,6.0,6.0,57.0,2180.0,6.0,,,,,,,,,,
9,josdejong/mathjs,v0.7.2,2013-05-04,OTHER,216,24773,2.0,2.0,6.0,12.0,2.0,,,,,,,,,,
10,josdejong/mathjs,v0.8.0,2013-05-10,OTHER,280,26605,11.0,11.0,49.0,1769.0,11.0,,,,,,,,,,
11,josdejong/mathjs,v0.8.1,2013-05-10,OTHER,280,26605,,,,,,,,,,,,,,,
12,josdejong/mathjs,v0.8.2,2013-05-18,OTHER,278,26895,3.0,3.0,14.0,202.0,3.0,,,,,,,,,,
13,josdejong/mathjs,v0.9.0,2013-05-29,OTHER,288,28536,16.0,5.0,85.0,17673.0,16.0,,,,,,1.0,,1.0,88.0,-1.0
14,josdejong/mathjs,v0.9.1,2013-06-14,OTHER,293,28045,5.0,4.0,34.0,1231.0,5.0,,,,,,,,,,
15,josdejong/mathjs,v0.10.0,2013-07-08,OTHER,314,30528,9.0,10.0,76.0,802.0,9.0,,,,,,1.0,,1.0,1.0,-1.0
16,josdejong/mathjs,v0.11.0,2013-07-23,OTHER,319,30791,2.0,4.0,25.0,215.0,2.0,,,,,,,,,,
17,josdejong/mathjs,v0.11.1,2013-07-23,OTHER,319,30798,,,,,,,,,,,,,,,
18,josdejong/mathjs,v0.12.0,2013-08-22,OTHER,342,36707,39.0,37.0,832.0,69306.0,39.0,,,,,,12.0,9.0,224.0,13754.0,-1.0
19,josdejong/mathjs,v0.12.1,2013-08-22,OTHER,342,36710,,,,,,,,,,,,,,,
20,josdejong/mathjs,v0.13.0,2013-09-03,OTHER,347,37677,6.0,15.0,153.0,604.0,6.0,,,,,,2.0,3.0,7.0,110.0,-1.0
21,josdejong/mathjs,v0.14.0,2013-10-08,OTHER,363,38298,12.0,14.0,124.0,1132.0,12.0,,,,,,,,,,
22,josdejong/mathjs,v0.15.0,2013-10-26,OTHER,368,39890,19.0,27.0,95.0,1822.0,19.0,,,,,,5.0,12.0,11.0,160.0,-1.0
