,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,kubernetes/kubernetes,v0.3,2014-09-19,REFACTOR,883,168058,,,,,,,,,,,4.0,101.0,31.0,583.0,-1.0
1,kubernetes/kubernetes,v0.4,2014-10-15,REFACTOR,1052,188538,,,,,,,,,,,6.0,128.0,50.0,2506.0,-1.0
2,kubernetes/kubernetes,v0.4.1,2014-10-17,REFACTOR,1052,188538,,,,,,,,,,,,,,,
3,kubernetes/kubernetes,v0.4.2,2014-10-29,REFACTOR,1050,189218,,,,,,,,,,,,,,,
4,kubernetes/kubernetes,v0.4.3,2014-10-30,REFACTOR,1053,189448,,,,,,,,,,,,,,,
5,kubernetes/kubernetes,v0.5,2014-11-17,REFACTOR,1451,257658,,,,,,,,,,,22.0,350.0,136.0,4010.0,-1.0
6,kubernetes/kubernetes,v0.5.1,2014-11-18,REFACTOR,1462,258968,,,,,,,,,,,,,,,
7,kubernetes/kubernetes,v0.4.4,2014-11-19,REFACTOR,1055,189581,,,,,,,,,,,,,,,
8,kubernetes/kubernetes,v0.5.2,2014-11-19,REFACTOR,1462,258968,,,,,,,,,,,22.0,352.0,136.0,4010.0,-1.0
9,kubernetes/kubernetes,v0.5.3,2014-11-24,REFACTOR,1463,259381,,,,,,,,,,,,,,,
10,kubernetes/kubernetes,v0.5.4,2014-11-25,REFACTOR,1463,259390,,,,,,,,,,,,,,,
11,kubernetes/kubernetes,v0.6.0,2014-12-01,REFACTOR,1488,264356,,,,,,,,,,,6.0,87.0,52.0,1256.0,-1.0
12,kubernetes/kubernetes,v0.5.5,2014-12-02,REFACTOR,1463,259420,,,,,,,,,,,,,,,
13,kubernetes/kubernetes,v0.6.1,2014-12-09,REFACTOR,1488,264356,,,,,,,,,,,6.0,88.0,52.0,1256.0,-1.0
14,kubernetes/kubernetes,v0.5.6,2014-12-12,REFACTOR,1463,259421,,,,,,,,,,,,,,,
15,kubernetes/kubernetes,v0.6.2,2014-12-12,REFACTOR,1488,264357,,,,,,,,,,,6.0,90.0,52.0,1256.0,-1.0
16,kubernetes/kubernetes,v0.7.0,2014-12-15,REFACTOR,1533,275176,,,,,,,,,,,4.0,124.0,6.0,711.0,-1.0
17,kubernetes/kubernetes,v0.7.1,2014-12-22,REFACTOR,1533,275227,,,,,,,,,,,,,,,
18,kubernetes/kubernetes,v0.7.2,2014-12-29,REFACTOR,1655,286090,,,,,,,,,,,,,,,
