,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,nodejs/node,v0.0.2,2009-05-31,DOCS,1047,360609,,,,,,,,,,,,,,,
1,nodejs/node,v0.0.3,2009-06-11,DOCS,1072,367329,,,,,,,,,,,2.0,37.0,3.0,33.0,-1.0
2,nodejs/node,v0.0.4,2009-06-12,DOCS,1072,367520,,,,,,,,,,,,,,,
3,nodejs/node,v0.0.5,2009-06-18,DOCS,1075,372373,,,,,,,,,,,,,,,
4,nodejs/node,v0.0.6,2009-06-24,DOCS,1087,374589,,,,,,,,,,,1.0,35.0,1.0,61.0,-1.0
5,nodejs/node,v0.1.0,2009-06-30,DOCS,1116,426671,,,,,,,,,,,2.0,30.0,4.0,2148.0,-1.0
6,nodejs/node,v0.1.1,2009-07-27,DOCS,1142,434295,,,,,,,,,,,,,,,
7,nodejs/node,v0.1.2,2009-08-01,DOCS,1192,449602,,,,,,,,,,,1.0,10.0,1.0,25.0,-1.0
8,nodejs/node,v0.1.3,2009-08-06,DOCS,1200,451449,,,,,,,,,,,,,,,
9,nodejs/node,v0.1.4,2009-08-13,DOCS,1204,458337,,,,,,,,,,,,,,,
10,nodejs/node,v0.1.5,2009-08-21,DOCS,1219,464797,,,,,,,,,,,2.0,10.0,2.0,45.0,-1.0
11,nodejs/node,v0.1.6,2009-08-22,DOCS,1219,464767,,,,,,,,,,,,,,,
12,nodejs/node,v0.1.7,2009-08-27,DOCS,1223,465626,,,,,,,,,,,1.0,25.0,1.0,38.0,-1.0
13,nodejs/node,v0.1.8,2009-09-04,DOCS,1230,470296,,,,,,,,,,,1.0,28.0,1.0,74.0,-1.0
14,nodejs/node,v0.1.9,2009-09-05,DOCS,1231,470367,,,,,,,,,,,,,,,
15,nodejs/node,v0.1.10,2009-09-11,DOCS,1244,476469,,,,,,,,,,,3.0,24.0,21.0,850.0,-1.0
16,nodejs/node,v0.1.11,2009-09-18,DOCS,1246,477709,,,,,,,,,,,2.0,21.0,6.0,163.0,-1.0
17,nodejs/node,v0.1.12,2009-09-24,DOCS,1257,479997,,,,,,,,,,,1.0,25.0,3.0,80.0,-1.0
18,nodejs/node,v0.1.13,2009-09-30,DOCS,1263,482853,,,,,,,,,,,5.0,27.0,19.0,2596.0,-1.0
19,nodejs/node,v0.1.14,2009-10-09,DOCS,1329,492792,,,,,,,,,,,3.0,53.0,8.0,577.0,-1.0
20,nodejs/node,v0.1.15,2009-10-28,DOCS,1344,499096,,,,,,,,,,,1.0,35.0,1.0,35.0,-1.0
21,nodejs/node,v0.1.16,2009-11-03,DOCS,1355,506235,,,,,,,,,,,3.0,25.0,5.0,129.0,-1.0
22,nodejs/node,v0.1.17,2009-11-07,DOCS,1354,506153,,,,,,,,,,,,,,,
23,nodejs/node,v0.1.18,2009-11-17,DOCS,1357,465846,,,,,,,,,,,,,,,
24,nodejs/node,v0.1.19,2009-11-28,DOCS,1382,467778,,,,,,,,,,,,,,,
25,nodejs/node,v0.1.20,2009-11-28,DOCS,1382,467836,,,,,,,,,,,,,,,
26,nodejs/node,v0.1.21,2009-12-06,DOCS,1393,471379,,,,,,,,,,,,,,,
27,nodejs/node,v0.1.22,2009-12-19,DOCS,1399,472298,,,,,,,,,,,2.0,38.0,2.0,35.0,-1.0
28,nodejs/node,v0.1.23,2009-12-22,DOCS,1405,472327,,,,,,,,,,,,,,,
29,nodejs/node,v0.1.24,2009-12-31,DOCS,1415,478640,,,,,,,,,,,,,,,
30,nodejs/node,v0.1.25,2010-01-09,DOCS,1422,480013,,,,,,,,,,,3.0,29.0,3.0,81.0,-1.0
31,nodejs/node,v0.1.26,2010-01-20,DOCS,1434,485615,,,,,,,,,,,,,,,
32,nodejs/node,v0.1.27,2010-02-03,DOCS,1455,494467,,,,,,,,,,,,,,,
33,nodejs/node,v0.1.28,2010-02-09,DOCS,1459,495599,,,,,,,,,,,,,,,
34,nodejs/node,v0.1.29,2010-02-17,DOCS,1462,495868,,,,,,,,,,,2.0,38.0,3.0,124.0,-1.0
35,nodejs/node,v0.1.30,2010-02-22,DOCS,1507,514758,,,,,,,,,,,,,,,
36,nodejs/node,v0.1.31,2010-03-05,DOCS,1531,517430,,,,,,,,,,,3.0,64.0,4.0,118.0,-1.0
37,nodejs/node,v0.1.32,2010-03-12,DOCS,1551,525686,,,,,,,,,,,1.0,42.0,1.0,6.0,-1.0
38,nodejs/node,v0.1.33,2010-03-19,DOCS,1567,531675,,,,,,,,,,,,,,,
