,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,Automattic/mongoose,0.0.2,2010-07-09,OTHER,22.0,2540.0,,,,,,,,,,,84.0,72.0,173.0,7373.0,-1.0
1,Automattic/mongoose,0.0.3,2010-08-28,OTHER,21.0,2680.0,,,,,,,,,,,12.0,10.0,11.0,165.0,-1.0
2,Automattic/mongoose,0.0.4,2010-12-20,OTHER,21.0,2684.0,,,,,,,,,,,4.0,4.0,4.0,22.0,-1.0
3,Automattic/mongoose,0.0.5,2010-12-29,OTHER,21.0,2684.0,,,,,,,,,,,2.0,,3.0,8.0,-1.0
4,Automattic/mongoose,0.0.6,2011-02-02,OTHER,22.0,2747.0,,,,,,,,,,,1.0,2.0,1.0,1.0,-1.0
5,Automattic/mongoose,1.0.1,2011-02-02,OTHER,179.0,28496.0,,,,,,,,,,,317.0,326.0,459.0,22477.0,-1.0
6,Automattic/mongoose,1.0.2,2011-02-02,OTHER,180.0,28577.0,,,,,,,,,,,3.0,7.0,2.0,7.0,-1.0
7,Automattic/mongoose,1.0.3,2011-02-02,OTHER,201.0,35632.0,,,,,,,,,,,323.0,334.0,529.0,33564.0,-1.0
8,Automattic/mongoose,1.0.4,2011-02-02,OTHER,202.0,35673.0,,,,,,,,,,,2.0,1.0,3.0,37.0,-1.0
9,Automattic/mongoose,1.0.5,2011-02-02,OTHER,202.0,35965.0,,,,,,,,,,,4.0,8.0,11.0,251.0,-1.0
10,Automattic/mongoose,1.0.6,2011-02-03,OTHER,202.0,36050.0,,,,,,,,,,,3.0,3.0,4.0,36.0,-1.0
11,Automattic/mongoose,1.0.7,2011-02-05,OTHER,202.0,36146.0,,,,,,,,,,,6.0,6.0,3.0,19.0,-1.0
12,Automattic/mongoose,1.0.8,2011-02-09,OTHER,202.0,36196.0,,,,,,,,,,,5.0,9.0,2.0,14.0,-1.0
13,Automattic/mongoose,1.0.9,2011-02-09,OTHER,202.0,36216.0,,,,,,,,,,,2.0,4.0,,0.0,-1.0
14,Automattic/mongoose,1.0.10,2011-02-11,OTHER,202.0,36264.0,,,,,,,,,,,1.0,1.0,7.0,71.0,-1.0
15,Automattic/mongoose,1.0.11,2011-02-14,OTHER,204.0,38196.0,,,,,,,,,,,20.0,35.0,40.0,3434.0,-1.0
16,Automattic/mongoose,1.0.12,2011-02-14,OTHER,205.0,38320.0,,,,,,,,,,,5.0,5.0,12.0,177.0,-1.0
17,Automattic/mongoose,1.0.13,2011-02-16,OTHER,205.0,38386.0,,,,,,,,,,,1.0,4.0,,0.0,-1.0
18,Automattic/mongoose,1.0.14,2011-02-17,OTHER,205.0,38414.0,,,,,,,,,,,1.0,3.0,5.0,123.0,-1.0
19,Automattic/mongoose,1.0.15,2011-02-18,OTHER,205.0,38430.0,,,,,,,,,,,1.0,1.0,2.0,10.0,-1.0
20,Automattic/mongoose,1.0.16,2011-02-18,OTHER,205.0,38466.0,,,,,,,,,,,4.0,2.0,9.0,342.0,-1.0
21,Automattic/mongoose,1.1.0,2011-02-25,OTHER,206.0,38682.0,,,,,,,,,,,1.0,6.0,,0.0,-1.0
22,Automattic/mongoose,1.1.1,2011-03-01,OTHER,206.0,38814.0,,,,,,,,,,,2.0,3.0,3.0,69.0,-1.0
23,Automattic/mongoose,1.1.2,2011-03-03,OTHER,206.0,38982.0,,,,,,,,,,,1.0,4.0,,0.0,-1.0
24,Automattic/mongoose,1.1.3,2011-03-04,OTHER,206.0,39130.0,,,,,,,,,,,5.0,5.0,13.0,642.0,-1.0
25,Automattic/mongoose,1.1.4,2011-03-09,OTHER,206.0,39360.0,,,,,,,,,,,6.0,7.0,4.0,37.0,-1.0
26,Automattic/mongoose,1.1.5,2011-03-14,,,,,,,,,,,,,,,,,,
27,Automattic/mongoose,1.1.6,2011-03-22,OTHER,206.0,39605.0,,,,,,,,,,,7.0,14.0,7.0,61.0,-1.0
28,Automattic/mongoose,1.1.7,2011-03-22,OTHER,206.0,39673.0,,,,,,,,,,,3.0,6.0,3.0,24.0,-1.0
29,Automattic/mongoose,1.1.8,2011-03-23,,,,,,,,,,,,,,,,,,
30,Automattic/mongoose,1.1.9,2011-03-23,OTHER,206.0,39808.0,,,,,,,,,,,1.0,8.0,,0.0,-1.0
31,Automattic/mongoose,1.1.10,2011-03-23,OTHER,206.0,39814.0,,,,,,,,,,,1.0,1.0,1.0,37.0,-1.0
32,Automattic/mongoose,1.1.11,2011-03-25,,,,,,,,,,,,,,,,,,
33,Automattic/mongoose,1.1.12,2011-03-26,OTHER,210.0,40485.0,,,,,,,,,,,4.0,7.0,25.0,706.0,-1.0
34,Automattic/mongoose,1.1.13,2011-03-26,,,,,,,,,,,,,,,,,,
35,Automattic/mongoose,1.1.14,2011-03-28,OTHER,210.0,40504.0,,,,,,,,,,,1.0,1.0,1.0,11.0,-1.0
36,Automattic/mongoose,1.1.15,2011-03-28,,,,,,,,,,,,,,,,,,
37,Automattic/mongoose,1.1.16,2011-03-28,OTHER,210.0,40529.0,,,,,,,,,,,2.0,4.0,,0.0,-1.0
38,Automattic/mongoose,1.1.17,2011-03-30,OTHER,210.0,40573.0,,,,,,,,,,,1.0,3.0,3.0,9.0,-1.0
39,Automattic/mongoose,1.1.18,2011-03-30,,,,,,,,,,,,,,,,,,
40,Automattic/mongoose,1.1.19,2011-03-31,OTHER,210.0,40651.0,,,,,,,,,,,1.0,4.0,3.0,9.0,-1.0
41,Automattic/mongoose,1.1.20,2011-03-31,,,,,,,,,,,,,,,,,,
42,Automattic/mongoose,1.1.21,2011-03-31,OTHER,210.0,40677.0,,,,,,,,,,,1.0,2.0,3.0,9.0,-1.0
43,Automattic/mongoose,1.1.22,2011-03-31,,,,,,,,,,,,,,,,,,
44,Automattic/mongoose,1.1.23,2011-04-01,OTHER,210.0,40726.0,,,,,,,,,,,1.0,3.0,1.0,10.0,-1.0
