,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,openstack/cinder,folsom-3,2012-08-17,BUG,356,242899,,,,,,2.0,140.0,6.0,1820.0,1.0,1.0,113.0,1.0,8.0,-1.0
1,openstack/cinder,folsom-rc1,2012-09-18,BUG,361,247758,,,,,,62.0,249.0,118.0,1736.0,8.0,4.0,21.0,8.0,358.0,-1.0
2,openstack/cinder,folsom-rc2,2012-09-25,BUG,362,247887,,,,,,,,,,,,,,,
3,openstack/cinder,folsom-rc3,2012-09-26,BUG,362,247886,,,,,,3.0,5.0,,0.0,1.0,,,,,
4,openstack/cinder,2012.2,2012-09-27,BUG,362,247886,,,,,,,,,,,,,,,
5,openstack/cinder,grizzly-1,2012-11-23,BUG,426,254284,,,,,,19.0,141.0,19.0,368.0,4.0,11.0,92.0,20.0,154.0,-1.0
6,openstack/cinder,2012.2.1,2012-11-29,BUG,362,247975,,,,,,3.0,34.0,,0.0,1.0,1.0,7.0,4.0,83.0,-1.0
7,openstack/cinder,grizzly-2,2013-01-10,BUG,469,261632,,,,,,19.0,218.0,19.0,368.0,4.0,24.0,169.0,51.0,196.0,-1.0
8,openstack/cinder,2012.2.3,2013-01-31,BUG,362,247983,,,,,,3.0,41.0,,0.0,1.0,1.0,10.0,4.0,83.0,-1.0
9,openstack/cinder,2013.1.g3,2013-02-21,BUG,517,279026,,,,,,79.0,519.0,115.0,1154.0,12.0,32.0,274.0,59.0,231.0,-1.0
10,openstack/cinder,2013.1.rc1,2013-03-15,BUG,486,248484,,,,,,70.0,113.0,31.0,968.0,9.0,13.0,10.0,19.0,680.0,-1.0
11,openstack/cinder,2013.1.rc2,2013-03-25,BUG,487,248686,,,,,,27.0,53.0,18.0,393.0,2.0,3.0,11.0,6.0,204.0,-1.0
12,openstack/cinder,2013.1.rc3,2013-03-27,BUG,487,248848,,,,,,5.0,10.0,25.0,726.0,2.0,,,,,
13,openstack/cinder,2013.1,2013-04-04,BUG,487,248848,,,,,,,,,,,,,,,
14,openstack/cinder,2012.2.4,2013-04-11,BUG,362,248127,,,,,,12.0,74.0,12.0,138.0,2.0,6.0,18.0,9.0,110.0,-1.0
15,openstack/cinder,2013.1.1,2013-05-10,BUG,486,248975,,,,,,196.0,731.0,234.0,3817.0,18.0,53.0,304.0,88.0,1135.0,-1.0
16,openstack/cinder,2013.2.b1,2013-05-30,BUG,516,234349,,,,,,60.0,404.0,66.0,1458.0,9.0,32.0,111.0,42.0,1299.0,-1.0
17,openstack/cinder,2013.1.2,2013-06-06,BUG,491,249244,,,,,,53.0,119.0,91.0,1707.0,3.0,8.0,22.0,10.0,224.0,-1.0
18,openstack/cinder,2013.2.b2,2013-07-18,BUG,570,353195,,,,,,192.0,1145.0,504.0,4493.0,21.0,39.0,142.0,47.0,1321.0,-1.0
19,openstack/cinder,2013.1.3,2013-08-08,BUG,491,249362,,,,,,87.0,159.0,111.0,2194.0,6.0,10.0,24.0,14.0,304.0,-1.0
20,openstack/cinder,2013.2.b3,2013-09-06,BUG,636,464801,,,,,,388.0,2081.0,687.0,8140.0,28.0,39.0,153.0,47.0,1321.0,-1.0
21,openstack/cinder,2013.2.rc1,2013-10-04,BUG,649,622753,,,,,,205.0,449.0,161.0,3732.0,17.0,5.0,6.0,8.0,347.0,-1.0
