,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC
0,jekyll/jekyll,v0.1.4,2008-12-08,,,,,,,,,,,,,
1,jekyll/jekyll,v0.1.5,2008-12-12,,,,,,,,,,,,,
2,jekyll/jekyll,v0.1.6,2008-12-13,,,,,,,,,,,,,
3,jekyll/jekyll,v0.2.0,2008-12-14,,,,,,,,,,,,,
4,jekyll/jekyll,v0.2.1,2008-12-15,,,,,,,,,,,,,
5,jekyll/jekyll,v0.3.0,2008-12-24,,,,,,,,,,,,,
6,jekyll/jekyll,v0.4.0,2009-02-03,,,,,,,,,,,,,
7,jekyll/jekyll,v0.4.1,2009-02-10,,,,,,,,,,,,,
8,jekyll/jekyll,v0.4.4,2009-02-16,,,,,,,,,,,,,
9,jekyll/jekyll,v0.4.5,2009-03-08,,,,,,,,,,,,,
10,jekyll/jekyll,v0.5.0,2009-04-07,,,,,,,,,,,,,
11,jekyll/jekyll,v0.5.1,2009-05-06,,,,,,,,,,,,,
12,jekyll/jekyll,v0.5.2,2009-06-24,,,,,,,,,,,,,
13,jekyll/jekyll,v0.5.4,2009-08-24,,,,,,,,,,,,,
14,jekyll/jekyll,v0.5.5,2010-01-08,,,,,,,,,,,,,
15,jekyll/jekyll,v0.5.6,2010-01-08,,,,,,,,,,,,,
16,jekyll/jekyll,v0.5.7,2010-01-12,,,,,,,,,,,,,
17,jekyll/jekyll,v0.6.0,2010-06-22,,,,,,,,,,,,,
18,jekyll/jekyll,v0.6.1,2010-06-23,,,,,,,,,,,,,
19,jekyll/jekyll,v0.6.2,2010-06-25,,,,,,,,,,,,,
20,jekyll/jekyll,v0.7.0,2010-08-24,,,,,,,,,,,,,
21,jekyll/jekyll,ruby-1.9.2,2010-08-30,,,,,,,,,,,,,
22,jekyll/jekyll,v0.8.0,2010-11-22,,,,,,,,,,,,,
23,jekyll/jekyll,v0.9.0,2010-12-15,,,,,,,,,,,,,
24,jekyll/jekyll,v0.10.0,2010-12-16,,,,,,,,,,,,,
25,jekyll/jekyll,v0.11.0,2011-07-10,,,,,,,,,,,,,
26,jekyll/jekyll,v0.11.1,2011-12-27,,,,,,,,,,,,,
27,jekyll/jekyll,v0.11.2,2011-12-27,,,,,,,,,,,,,
28,jekyll/jekyll,v0.12.0,2012-12-22,,,,,,,,,,,,,
29,jekyll/jekyll,v0.12.1,2013-02-19,,,,,,,,,,,,,
30,jekyll/jekyll,v1.0.0.beta1,2013-03-14,,,,,,,,,,,,,
31,jekyll/jekyll,v1.0.0.beta2,2013-03-19,,,,,,,,,,,,,
32,jekyll/jekyll,v1.0.0.beta3,2013-04-04,,,,,,,,,,,,,
33,jekyll/jekyll,v1.0.0.beta4,2013-04-09,,,,,,,,,,,,,
34,jekyll/jekyll,v1.0.0.rc1,2013-04-16,,,,,,,,,,,,,
35,jekyll/jekyll,v1.0.0,2013-05-06,,,,,,,,,,,,,
36,jekyll/jekyll,v1.0.1,2013-05-08,,,,,,,,,,,,,
37,jekyll/jekyll,v1.0.2,2013-05-12,,,,,,,,,,,,,
38,jekyll/jekyll,v1.0.3,2013-06-07,,,,,,,,,,,,,
39,jekyll/jekyll,v1.1.0,2013-07-14,,,,,,,,,,,,,
40,jekyll/jekyll,v1.1.1,2013-07-24,,,,,,,,,,,,,
41,jekyll/jekyll,v1.0.4,2013-07-25,,,,,,,,,,,,,
42,jekyll/jekyll,v1.1.2,2013-07-25,,,,,,,,,,,,,
43,jekyll/jekyll,v1.2.0,2013-09-06,,,,,,,,,,,,,
44,jekyll/jekyll,v1.2.1,2013-09-14,,,,,,,,,,,,,
45,jekyll/jekyll,v1.3.0.rc,2013-10-29,,,,,,,,,,,,,
46,jekyll/jekyll,v1.3.0,2013-11-04,,,,,,,,,,,,,
47,jekyll/jekyll,v1.3.1,2013-11-26,,,,,,,,,,,,,
48,jekyll/jekyll,v1.4.0,2013-12-07,,,,,,,,,,,,,
49,jekyll/jekyll,v1.4.1,2013-12-09,RELEASE,243.0,17132.0,3.0,3.0,4.0,21.0,1.0,,,,,
50,jekyll/jekyll,v1.4.2,2013-12-16,RELEASE,244.0,17198.0,4.0,5.0,3.0,24.0,1.0,,,,,
51,jekyll/jekyll,v1.4.3,2014-01-13,RELEASE,248.0,17314.0,5.0,19.0,5.0,46.0,1.0,,,,,
52,jekyll/jekyll,v2.0.0.alpha.1,2014-02-13,RELEASE,266.0,18729.0,8.0,395.0,7.0,57.0,2.0,,,,,
53,jekyll/jekyll,v1.5.0,2014-03-24,RELEASE,249.0,17379.0,14.0,43.0,12.0,91.0,2.0,,,,,
54,jekyll/jekyll,v2.0.0.alpha.2,2014-03-26,RELEASE,284.0,19464.0,15.0,646.0,13.0,125.0,2.0,,,,,
55,jekyll/jekyll,v1.5.1,2014-03-28,RELEASE,251.0,17431.0,17.0,47.0,15.0,127.0,2.0,,,,,
56,jekyll/jekyll,v2.0.0.alpha.3,2014-04-14,RELEASE,305.0,20656.0,17.0,787.0,15.0,153.0,2.0,,,,,
57,jekyll/jekyll,v2.0.0.rc1,2014-04-25,RELEASE,310.0,21237.0,1.0,78.0,,0.0,1.0,,,,,
58,jekyll/jekyll,v2.0.0,2014-05-06,RELEASE,310.0,21792.0,2.0,125.0,2.0,35.0,1.0,,,,,
59,jekyll/jekyll,v2.0.1,2014-05-06,,,,,,,,,,,,,
60,jekyll/jekyll,v2.0.2,2014-05-06,,,,,,,,,,,,,
61,jekyll/jekyll,v2.0.3,2014-05-08,RELEASE,318.0,22423.0,3.0,64.0,1.0,18.0,1.0,,,,,
62,jekyll/jekyll,v2.1.0,2014-06-28,RELEASE,331.0,23490.0,5.0,290.0,3.0,37.0,1.0,,,,,
63,jekyll/jekyll,v2.1.1,2014-07-10,RELEASE,333.0,23601.0,5.0,30.0,5.0,51.0,1.0,,,,,
64,jekyll/jekyll,v2.2.0,2014-07-29,RELEASE,334.0,24056.0,4.0,89.0,6.0,236.0,1.0,,,,,
65,jekyll/jekyll,v2.3.0,2014-08-13,RELEASE,343.0,25017.0,6.0,189.0,7.0,116.0,1.0,,,,,
66,jekyll/jekyll,v2.4.0,2014-09-09,RELEASE,347.0,25433.0,4.0,137.0,4.0,86.0,1.0,,,,,
67,jekyll/jekyll,v2.5.0,2014-11-06,RELEASE,357.0,26126.0,3.0,252.0,5.0,127.0,1.0,,,,,
68,jekyll/jekyll,v2.5.1,2014-11-09,,,,,,,,,,,,,
69,jekyll/jekyll,v2.5.2,2014-11-23,RELEASE,361.0,26331.0,4.0,62.0,7.0,71.0,1.0,,,,,
70,jekyll/jekyll,v2.5.3,2014-12-22,RELEASE,364.0,26578.0,1.0,62.0,6.0,129.0,1.0,,,,,
71,jekyll/jekyll,v3.0.0.beta1,2015-01-24,RELEASE,375.0,27516.0,4.0,260.0,3.0,50.0,2.0,,,,,
72,jekyll/jekyll,v3.0.0.beta2,2015-03-05,RELEASE,382.0,28104.0,4.0,236.0,2.0,29.0,1.0,,,,,
73,jekyll/jekyll,v3.0.0.pre.beta2,2015-03-18,RELEASE,381.0,28209.0,1.0,45.0,,0.0,1.0,,,,,
74,jekyll/jekyll,v3.0.0.pre.beta3,2015-05-06,RELEASE,389.0,28783.0,2.0,201.0,1.0,2.0,1.0,,,,,
75,jekyll/jekyll,v3.0.0.pre.beta4,2015-05-10,RELEASE,392.0,29484.0,2.0,18.0,1.0,2.0,1.0,,,,,
76,jekyll/jekyll,v3.0.0.pre.beta5,2015-05-19,RELEASE,394.0,29691.0,1.0,24.0,1.0,2.0,1.0,,,,,
77,jekyll/jekyll,v3.0.0.pre.beta6,2015-06-04,RELEASE,394.0,29743.0,1.0,23.0,1.0,2.0,1.0,,,,,
78,jekyll/jekyll,v3.0.0.pre.beta7,2015-06-18,RELEASE,397.0,29993.0,2.0,22.0,1.0,2.0,1.0,,,,,
79,jekyll/jekyll,v3.0.0.pre.beta8,2015-06-29,RELEASE,397.0,29998.0,1.0,6.0,1.0,2.0,1.0,,,,,
80,jekyll/jekyll,v3.0.0.pre.beta9,2015-09-21,RELEASE,399.0,31067.0,1.0,111.0,1.0,2.0,1.0,,,,,
81,jekyll/jekyll,v3.0.0.pre.beta10,2015-10-16,RELEASE,399.0,31283.0,1.0,58.0,1.0,2.0,1.0,,,,,
82,jekyll/jekyll,v3.0.0.pre.rc1,2015-10-26,RELEASE,398.0,30269.0,2.0,32.0,1.0,2.0,1.0,,,,,
83,jekyll/jekyll,v3.0.0,2015-10-26,RELEASE,399.0,30599.0,4.0,10.0,5.0,328.0,1.0,,,,,
84,jekyll/jekyll,v3.0.1,2015-11-17,RELEASE,402.0,31024.0,2.0,66.0,8.0,94.0,1.0,,,,,
85,jekyll/jekyll,v3.1.0.pre.beta1,2015-12-27,RELEASE,427.0,32467.0,1.0,205.0,1.0,2.0,1.0,,,,,
86,jekyll/jekyll,v3.1.0.pre.rc1,2016-01-15,RELEASE,432.0,32883.0,2.0,182.0,1.0,2.0,1.0,,,,,
87,jekyll/jekyll,v3.1.0.pre.rc2,2016-01-18,RELEASE,432.0,33095.0,2.0,29.0,1.0,2.0,1.0,,,,,
88,jekyll/jekyll,v3.0.2,2016-01-20,RELEASE,404.0,31137.0,3.0,3.0,5.0,40.0,1.0,,,,,
89,jekyll/jekyll,v3.1.0.pre.rc3,2016-01-22,RELEASE,435.0,33228.0,8.0,447.0,7.0,42.0,1.0,,,,,
90,jekyll/jekyll,v3.1.0,2016-01-24,RELEASE,436.0,33380.0,2.0,5.0,5.0,157.0,1.0,,,,,
91,jekyll/jekyll,v3.1.1,2016-01-29,RELEASE,440.0,33685.0,3.0,27.0,7.0,150.0,1.0,,,,,
92,jekyll/jekyll,v3.0.3,2016-02-08,RELEASE,408.0,31258.0,6.0,18.0,10.0,98.0,1.0,,,,,
93,jekyll/jekyll,v3.1.2,2016-02-19,RELEASE,446.0,33934.0,18.0,589.0,29.0,501.0,1.0,,,,,
94,jekyll/jekyll,v3.0.4,2016-04-18,RELEASE,408.0,31371.0,8.0,34.0,11.0,100.0,1.0,,,,,
95,jekyll/jekyll,v3.1.3,2016-04-18,RELEASE,446.0,33955.0,21.0,595.0,31.0,505.0,1.0,,,,,
